accession_id,is_expressed,82bf32b4-0410-4426-9591-33210d995b98,7e17b2bf-91b2-4ea2-acc1-59e1537913ce,84d88e83-f246-45c8-a27c-5f146cb5a4b4,86723871-7176-4e6c-b9b2-dcf4acf99075,d4a3af62-0505-49f6-9f34-168bec5cb0d0,5ec7ec6c-20c8-48af-964c-54125c9313c2,803da4bd-a731-423b-b689-9c876dec117f,6c67482e-8a8a-4a5c-b8be-d573afb35d54,c5b7ba42-889d-4b7a-a810-298ae179e9c2,85fb34fe-c751-4806-87a9-419e9ed39dfc,8c9b3702-7326-45fc-8457-168dd4921afb,8e5ae73e-8a65-4060-874e-9c0ab8311fcb,f3533714-4d93-4e83-9f58-3c9dda0effba,f041b9ca-ace6-4425-a928-1ffbf2737243,38a63af6-4f43-4eea-aff2-a42b4118482a,ef076f15-36a4-4e8a-a624-8cdeb9c4fa2d,64efe402-841b-49bc-a370-02a24880dd19,3f0c486c-70c8-4537-a4cc-1ea2e302706d,42a6d971-d671-4860-835f-15d184d416b0,4ebd02b1-6eb1-4923-ad2f-5f4f107e6622,bf370830-8f1c-4ca5-a838-aba83f5a964f,268512d6-01f2-4afa-bfbc-55698afe6a1f,4be7af1f-00a3-400a-9584-04756550a692,9b71b456-248a-4ec9-8fd3-bc0c1ea2d852,485f5497-8ed6-4c98-a733-710988850a13,3a587350-9c2f-43ea-a607-1eec5356f34b,8790fe0b-8d3a-4f2c-8201-1231da243697,7734be37-d611-4651-83e4-7a9e78daf8a2,cea36b7b-8225-4b98-8371-66ee50eb0641,3ef8d2e0-14fe-438a-bbcd-d0382a4085de,c42db931-0c5e-42bc-9590-2edbe16d7e56,03589e93-5465-4e5b-91aa-be97a386e097,27c8aced-b610-4c85-b7ed-3b111b55ef79,29cea98e-c370-473d-af6d-393e87c1bd31,1c73346e-7c14-4b9e-b43d-4478181e0a4a,c786cbe6-bedd-4ff1-9c19-8026aaabc738,5074a94f-c14e-441f-b006-cd8895a550e5,3f5ad0e5-ab95-4c1e-8dfe-09cab1d1500c,afd9ffe6-e019-4ea3-ab5f-41a57f9db4de,1f7bbed4-631f-4f97-84a7-9f9bd9eba94c,3e75bf39-6c1e-460b-956e-3e999daa919c,f52a43ab-8cf4-4611-a13a-195778748214,80a3007d-3d24-48c8-bdb4-38605dcd408f,15a6e18f-00b4-4369-8588-294605e0e952,5e01bf11-33c4-4d86-a97e-54ef83a86a04,485f30ed-85f1-4402-ad3e-8e1ff3a75a36,ea6c109d-9823-4fa7-987d-78f2ed377312,308d2039-4905-49de-861a-c70f97669068,12c76136-cc83-42c0-886b-4b4ea167a0d7,7c3c4540-a63e-4737-a23d-a9c999c53f39,cd746011-8fd7-473d-84e7-f39ec60b6717,600fc778-f0e3-4362-ad0c-cdb64fc76e7b,af1bb8e0-9d0f-4e54-9ca4-9b311129a412,3b8748ee-d541-4219-ba20-437311ae376a,acad335c-080a-442e-84d8-235fa3116bc6,8ca0e4c1-92ab-4653-87e0-cdcc630d8db6
MIMAT0000072,0,5.796996,2.541708,9.149845,1.859428,1.776085,2.363035,3.003263,4.750913000000001,2.080218,3.024022,0.91588,2.931466,6.661513,7.633349999999999,8.089094,1.729463,2.709162,2.56209,1.987243,2.791452,2.767704,0.860454,5.169749,2.188919,3.124994,10.1162,6.176516,4.344266,10.300245,4.800171,1.727985,1.725553,3.106803,2.276836,2.310745,0.292113,3.871257,1.56132,3.874482,2.109522,4.3649260000000005,2.764941,2.876246,3.47271,8.096209,1.741023,16.053039,4.443542,2.402054,2.798369,0.597857,14.508142,2.824078,0.850881,1.6324109999999998,8.265714
MIMAT0000073,1,17.138945999999997,10.731654,22.112128,20.76361,9.590861,15.123424,8.151715,15.04456,18.028551,20.790141,16.485841,6.742373000000001,18.652235,22.900053,13.818868,7.955532,10.294816,11.016986,9.439404,19.074922,7.116956,4.302274000000001,28.433618000000003,13.863154,5.937487,9.800069,8.153003,21.10072,20.60049,20.400729,21.59982,8.627767,14.757316,4.553672,18.485963,2.336907,11.613772,12.490559,6.692287,11.250785,9.976971,27.034983,10.642113,11.807212,26.216292,4.476917,18.885928,5.554425999999999,13.931906,11.753151,5.97857,34.927008,7.766216999999999,14.464971,10.882743,10.102541
MIMAT0000074,1,112.663362,82.464281,88.82975499999999,237.386959,80.634276,94.994006,79.371959,101.748732,79.741666,162.919089,236.06809,78.5633,73.276633,92.109099,150.659364,77.825858,172.844549,48.423496,69.05669,105.609934,85.008088,62.813205,168.755371,98.866177,88.749832,128.665424,75.84762500000001,141.809245,113.989381,148.805326,100.223168,53.923541,129.967938,100.18078,176.540941,41.188001,74.659968,86.262923,188.792954,50.628532,62.979634,185.558282,117.350874,193.082641,312.66782900000004,35.069175,180.832764,122.197374,51.88434,83.391399,114.190673,159.052222,114.375197,97.000389,59.310947,168.52875
MIMAT0000075,1,162.063851,124.261247,278.68905499999994,127.99062,107.275555,176.28240699999998,141.582411,114.813744,176.818474,154.981036,142.190381,94.39322,146.553268,152.667015,94.709802,112.069234,116.493975,65.845705,171.399699,143.759779,89.75272700000001,61.522522,155.830998,126.59248499999998,78.43735099999999,93.574853,61.765165,164.771792,140.083336,125.404489,111.455076,67.727967,193.139608,191.254218,225.990893,54.333108,96.781438,140.128458,96.862057,116.023719,125.647489,152.99341900000002,95.491397,138.90837499999998,167.70715800000002,68.894763,162.891131,93.869804,83.111025,158.38769100000002,71.742831,151.529482,81.89829,467.133459,73.458512,122.148902
MIMAT0000076,1,59359.72932400001,59454.205077000006,18920.356313,56135.507667,77693.078237,85484.207131,123174.123199,124356.350183,34718.134023,68533.369125,22622.008961,75667.59750799999,152539.745915,22573.85394,10361.454393,58737.076585,49208.13897,167512.241667,27093.075998,69974.258159,39487.642392,28796.412931000003,89183.704072,53678.49668499999,41139.610358000005,79582.56763199999,52615.76706400001,70965.75198,196392.716761,87240.723214,111881.88872000002,41297.23648,33505.838588,59057.708687000006,52025.506927,45789.08178099999,81042.00978400001,51027.44605200001,9830.265979,45737.604974,76066.304459,53195.626966,63154.903444,32417.394663,65695.712903,54645.23551,25294.868361,18391.260443000003,89204.070233,39959.031879,19802.814832,52041.241813,57959.984217,60403.164255,112458.999265,31825.299513
MIMAT0000077,1,123393.097845,76206.88028799999,125649.11485,55391.116708,54052.671587,135874.50961,76810.603068,63522.881585,84660.68534899999,39071.096607,20300.710906,50019.90465700001,115011.45114,211607.171481,146022.626543,50871.47665,42689.352829,66952.783762,136849.991482,81945.400127,118203.55365200002,88545.538712,44891.143557,144079.758376,151678.465602,132299.352276,93656.495264,56014.961652000005,72814.493957,74930.682516,65648.767902,83487.01542499999,47659.657973,111045.841815,53137.437586,56055.994648,74282.794252,57903.498722,83201.688991,98466.869603,95693.190656,34196.486561,68521.404885,38889.48311,28867.22104,72953.831806,92692.137174,220115.243236,73316.893688,76186.158708,33589.99331,200280.06087,101135.915152,113622.343444,66902.749631,97446.812415
MIMAT0000078,1,3106.181815,3169.791416,3034.317643,3479.919266,3283.98184,3054.458978,2285.054305,3333.161769,3643.847377,7210.398098,2570.875378,3212.300903,3375.610253,5631.886234,3440.561007,3348.933092,2594.835575,2006.628639,2648.497968,4211.835849,3237.81982,2545.225506,3794.595546,3019.248992,3372.493676,3935.834204,2809.82086,2704.925991,2550.340731,3115.311525,4289.292447,3678.016925,2713.53383,3159.109848,2483.589084,2506.333747,4050.994416,3282.2846820000004,4209.448879,1898.569954,2589.024205,4173.218044,4734.8776290000005,4317.619556,3145.183892,3118.17193,3650.177834,7962.825339999999,5119.254712,2089.26238,3210.491674,7520.590817,3311.938581,5499.24144,4184.958742,4475.425568000001
MIMAT0000079,1,10.585819,9.602007,20.968397,8.367425,3.196953,8.034319,8.151716,4.7509120000000005,4.853841,17.010114,11.90644,5.276642,7.549713000000001,7.63335,13.144779,5.880177000000001,6.501988,4.3555530000000005,7.452161,4.65242,10.675433,11.185912,9.600962,14.592796,9.99998,16.754956,13.835396,7.447313,12.360294,8.400299,9.935917,6.4708250000000005,9.06151,4.553672,4.159341,5.550154000000001,9.401626,5.85495,8.10119,5.976979,11.224093,10.752548,22.72235,7.292691,15.421348,3.979483,20.302371,7.220755,6.245338,2.238696,14.348568,11.28411,7.766216999999999,0.850881,3.808959,13.77619
MIMAT0000080,1,1407.913957,776.350378,1339.308692,1745.382965,955.178709,1272.258018,867.9430870000001,1012.340493,824.459478,1093.5613,1087.149649,1075.848181,910.406662,1550.587995,2231.578614,1027.647201,1383.298229,743.774637,697.52226,1055.168862,2070.63895,1834.920009,1213.413877,1245.130116,2415.932972,3137.602776,1936.461437,1127.026641,999.810475,2781.099557,832.4571,1047.842258,891.39366,1029.129839,919.214493,1087.538519,970.579554,660.047975,1556.837426,755.912109,956.853959,1050.677686,2218.449224,1111.61427,1428.01681,1018.249655,2439.589817,2959.9537,883.474989,631.312073,1189.137421,2700.126389,2982.933387,987.8724,761.247859,2431.497883
MIMAT0000081,1,11425.627563,7195.573363,12652.711883,6219.786236,7677.661818,8867.524952,9419.949733,9647.521801,7416.668227,13925.990889,6906.19373,9407.368885,9360.756855999998,20946.932436,8698.471634,9993.531807,9042.099838,7770.049378000001,6362.654937,9497.450241,8411.8472,6632.386143,7405.295744999999,7704.630184000001,9359.044951,8931.3404,6715.849857,8830.961209000001,12279.952425,7844.080817999999,9823.166586,9702.78638,8221.37838,8641.73076,8746.171093,8206.92852,8973.574799,5826.065064,5311.210745,10631.640161,8399.986779,8382.687537,7337.881063,6771.783265,7311.261015,9144.846882000002,8267.315208,9241.45424,7827.328925999999,10217.96497,9009.105961,15149.724025,10813.398278,5429.469229,9052.809597,10030.90459
MIMAT0000082,1,2196.053399,2138.9879,1257.722569,3641.689492,2119.225055,1947.140799,1458.298833,2031.015543,1989.381184,5039.907623,4810.660111,2871.37136,1951.378957,1415.732129,2556.15348,2417.44406,2935.648182,1656.9034,1485.464064,1554.37353,2516.239505,2783.571504,4097.764385,2289.244494,2202.808368,2768.045329,3461.566877,3042.227197,1595.851336,3989.542822,1702.065891,1891.206449,3120.007272,2164.132549,3199.920138,2408.183607,2441.657387,2335.344185,2869.934691,1235.476818,1807.702592,4016.845256,3939.595366,3884.919971,5139.549705,2294.6681200000003,4720.065681,2052.91591,1820.275537,2191.682689,3035.319596,3983.828262,2911.6253930000003,3125.284514,1456.110986,3557.93118
MIMAT0000083,1,854.426836,702.076041,549.753239,1860.047683,560.532541,773.185036,452.20564,484.19727300000005,601.182812,1758.0897280000002,1616.528339,805.566973,509.82773,462.07217,1914.081699,530.5993960000001,1072.286408,335.121331,519.6640170000001,427.5574,1108.26828,876.803511,1119.250596,859.1507229999999,1211.560228,1808.586946,1530.293713,1012.834513,1220.235724,609.6218230000001,404.780645,495.233808,948.610624,536.194861,973.748083,683.2534519999999,538.104788,578.859339,1529.3638219999998,387.800493,598.930093,970.801605,1087.221322,1232.464555,2003.233087,591.201618,2789.923792,887.5973,358.386264,486.356552,874.664677,1491.114573,1227.768322,220.37808,301.451975,1850.142583
MIMAT0000084,1,674.971999,560.870077,498.285359,1006.260384,592.1468610000001,698.985739,535.867973,618.806492,436.84564200000005,1360.809077,759.951494,909.340884,654.604592,463.598839,922.830727,565.188668,769.40207,493.458473,379.563392,517.349106,735.418836,805.815986,957.511314,748.245492,837.185929,1728.92187,1217.020801,800.8964100000001,1009.424038,988.835397,631.1467680000001,558.216502,583.30233,572.624236,691.837152,605.843377,523.172797,504.306316,760.102978,364.947336,586.770659,547.151157,1260.659011,648.7021090000001,1145.806146,666.314318,1377.2563349999998,1045.898446,708.605549,449.418079,413.119134,1174.084807,1107.038947,599.019957,651.876293,1328.024906
MIMAT0000085,1,96.280544,117.765773,85.398562,193.690405,116.155983,90.740542,75.081583,117.981017,106.091086,103.194693,142.648322,104.653352,99.922684,69.209046,91.676391,89.586208,124.079628,72.25093000000001,81.476959,104.214208,103.986639,131.649593,108.195456,90.110502,104.062305,102.742658,124.765633,103.331462,98.195672,66.002361,97.199193,80.238229,129.967939,104.734453,118.77231,83.544455,115.031651,106.560081,124.335658,67.153122,80.127555,107.525494,93.765647,130.226603,97.925558,89.04088599999999,111.899125,128.862688,96.562521,78.354335,129.734952,120.901182,79.07421099999999,148.053228,90.870901,110.66874
MIMAT0000086,1,5951.246758,5645.414325,2844.839583,8759.764709000001,4355.316533,8581.125119,8528.409583999999,5898.259186,5540.312183999999,10624.51687,9531.792943,9968.744705,6700.148909,2108.8403860000003,4104.2037,8840.671446,9689.047779,7875.095053000001,3557.16478,3259.485469,7019.691430000001,11558.060051,12000.094532,7941.033442,5853.114025,6538.859011,14642.049873999998,15586.294342,5529.858349,14029.702261,5458.706757,7064.846726,11289.346693,8572.287264999999,11877.693172,5839.056565999999,5122.779695,4829.162335,5199.907436,5563.864729999999,6208.170765,6192.546826,16027.598167000002,8928.683052999999,17391.425036999997,7194.901293,15316.960173,4253.024106,5460.346195,5948.773055,6070.639189,5932.755302,13851.401202,5149.529507,4201.826992,10429.495743
MIMAT0000087,1,33876.637901,52837.011331,31692.397434,57397.74929099999,89257.880489,44101.793874,47058.561062,83040.42631499999,51493.006657000005,99662.632754,53074.563627,55932.965572,34478.654517,26848.530398,28282.503496,69806.680573,57079.338896,63031.505507,58238.637068,71755.669788,28594.745069,41601.702324,78120.81112,47815.477047,27331.511251,20515.654344,35074.460375,50299.769846,22492.302284,80191.070837,68958.29247,50444.394691,46936.290596,47113.427412,57968.743933,52217.623376,75797.008957,57380.066239,28114.300046,54832.106646,52187.045773,94977.883542,59026.338658,42550.413324,60769.748867,37295.196647,29386.032626,20072.029801,65004.830531,52348.531276,39944.01668,30299.985388,29229.217076,66309.12663099999,89286.91915999999,33705.290516
MIMAT0000088,1,14538.614547,23480.009614,13683.975763,26565.026208,26938.597175000003,19540.408607,22282.497239,24724.150078,23975.891668,54664.456616,28108.130632,37282.096774,15853.510686,10583.38647,25105.17507,25355.664167,36954.59823,21402.928572,23552.305973,24155.830017,17411.238696,27421.836279,24710.290976,23689.576259,19588.400771,12160.937367,26423.878513,22502.365295,11001.348645,38666.584261,27268.046004,21041.828705,18959.526377,22215.088136,23023.804373,48031.052827,24788.214567000003,25539.679971,17453.485958,33089.613205,26457.99414,24324.110105,44185.479958,22452.45514,33074.935796,25673.869113,21865.183741,10114.610034,23025.596755,27912.612533,29186.179221,9793.533024,23370.665304,13089.947441,31218.780129,25663.668047
MIMAT0000089,0,0.252043,6.495475,0.0,20.143802,6.03869,4.72607,2.574225,10.689555,9.707681,12.474086,15.34099,4.983493,10.214319,0.0,0.0,2.075356,8.669319,1.024836,3.477676,1.395726,2.767705,2.581364,6.277552,2.918559,2.187496,3.4774450000000003,2.96473,11.791578,0.686683,0.0,5.615954,0.431388,7.508108999999999,2.276836,6.470086,1.75268,2.765185,8.58726,2.465579,0.703174,3.117804,8.294823,4.31437,6.945419,7.325140999999999,1.989742,0.0,0.555443,2.882463,1.679022,8.967855,0.537339,2.118059,3.403523,5.441372,5.051269
MIMAT0000090,1,7.561299,9.319593,7.243628999999999,20.453708,9.946078,7.561712,5.57749,10.689556,4.853841,21.168143,22.439062,12.019012,8.882016,7.124461,28.311828,3.113035,12.462146,8.198687,5.464918000000001,11.165808,5.930797,8.17432,13.662908000000002,5.837116999999999,10.62498,30.980863,19.764853,11.791578,19.913807,15.600558,8.639928000000001,3.451106,7.249206999999999,5.692089999999999,10.629429,4.673816,5.530368,17.174519,6.340063,3.51587,5.923826999999999,13.824707000000002,6.615368,10.765399,23.903089,6.217938,30.217485,7.776197,5.764927,6.716086000000001,8.369997,33.852332000000004,11.296316,4.254405,9.250331,14.694605
MIMAT0000091,0,3.78065,10.166829,1.524974,7.127807,2.841736,2.363035,0.858075,6.73046,2.080218,12.096081,6.18219,2.345173,6.661512,2.03556,3.707502,3.113035,2.709162,2.818299000000001,3.974486,4.187178,5.930796,0.860455,16.986317,4.377839,4.062492,6.322625,6.176516,5.275180000000001,21.973856,1.800064,6.911943,0.862776,6.990307,0.0,4.159341,0.584226,1.65911,12.490559,5.987836,1.757935,4.053144,10.138118,3.451497,5.556336,17.734551,1.741024,32.578226,1.110885,4.804106,2.798369,0.597857,2.149355,3.530099,4.254404,3.80896,6.888096
MIMAT0000092,1,7460.482126,7529.666671,10499.829395,9156.132755,6490.52636,9818.882823000002,10541.025006000002,9833.995156,14476.23248,9044.466331,10972.014369,7678.68314,9881.687105,14887.06966,7154.128914000001,8348.466139999999,9778.450125,5112.649961,10339.127969,11181.626289,7538.833864,5268.134943,6753.907409,8682.712175999999,7489.985956,5389.405744,4860.918437,7221.410777,7802.092458,2346.684009,7789.327437000001,6040.730822,7874.452004,14908.721648,12057.46916,6116.85649,8406.15906,11467.113726,6600.356664,8734.124964,7780.790958,8093.597563,5536.775261,12498.975553,9152.569945,7145.903936,6507.146671,8528.821364,6928.000395,10650.03316,12321.233308,10671.544269,6261.689039,25393.681196,5672.085543,8707.930949
MIMAT0000093,1,3158.102739,1870.131749,4288.609017,1982.769924,1693.319787,3030.356019,2272.1831770000003,2360.808128,2861.685656,1723.313498,1306.044991,1628.722743,2975.0313220000003,5148.440683,2140.576309,1766.128114,1744.700468,1335.361143,2432.882113,2267.58952,2379.8311750000003,985.651054,1600.037225,2285.961113,2377.808039,2192.054167,1181.197005,1796.3538599999997,7032.320794,2679.095909,2007.919358,1395.5412560000002,1625.634854,2577.37827,2143.909522,1429.019195,1844.930701,1793.566193,1267.660154,1834.581116,2086.746029,1394.75927,1945.493396,1682.52769,1761.117924,1628.105088,2931.5682540000003,3302.106351,1625.22886,1778.083733,1337.405936,3271.8546380000003,2452.006542,5244.828135000001,1844.624903,2091.68515
MIMAT0000094,0,4.53678,3.388944,0.762488,3.718856,3.552171,4.253463,2.145188,3.563184,2.080218,4.914034,2.74764,2.052027,0.888202,7.124459999999999,5.055684,6.571961,6.50199,3.843135,0.993621,2.32621,1.976932,3.44182,3.323411,1.8241,3.437492,6.954887,3.458849,1.551524,0.686683,8.400299,3.887967,1.725553,1.035601,2.276836,1.848596,2.921135,3.3182210000000003,0.78066,3.874483,0.703174,0.935341,4.915451,3.163872,4.167252,5.397473,6.2179400000000005,5.665778,3.888099,5.284516,0.559674,2.989285,12.896127,2.118059,1.701761,3.264822,4.132858
