mirna,2c658173-1941-45fe-baf5-ab67dfbcdfff,9c6e6db1-4096-47e2-9b77-abd2b4c7d180,ed3fd3e3-1b78-4a4f-8419-f4111c8c5c73,70c76e2f-3ce4-4864-8935-eaa51605612a,c1c6a9a5-73f2-414a-896d-4d3e564f6e59,133ae78e-fd83-4a13-9de6-28dbbe8e37c7,1540ed84-19b0-49d5-a728-3b04a29abe8a,5f2f42c5-e9d1-4a47-86a7-fd19308eca52,f1394f51-c3ab-45e8-87a2-fe641f00518e,2bb3034f-d37a-4eb4-b633-a3952ab947dd,44326a5f-517c-4e99-a8ac-eea1bdf44eeb,8da07768-f3a7-4529-b042-bf2648999e91,09ace4e7-5c45-4492-b97c-46aa467820aa,a9b9b321-f00e-4cdc-8b8c-92a377f89572,fdca715e-de7b-45e6-8cd8-3069bfbff602,b5db0bf7-8c2d-41d8-814a-8eee45608c50,4d4bb419-1f68-4c6e-92dc-bcfc0cc7c8e8,28d07a0a-b5ea-4ec0-b831-e80e060ef49c,dbb0837c-5ba2-4b10-bb93-a832fa11f481,d91020aa-3661-4b53-bbe4-e9677678736b,22879c27-d2a7-43cb-bebf-4fb3379003d9,63970639-a366-42e8-aa18-d072a9fc1770,17b53839-6c06-48cd-8829-0dd7499eec4e,af417154-4a8e-4c16-b65d-3f912189daa3,6f440be3-01eb-41c7-a80e-1c25310d3664,d51d209c-1403-49e9-a9b7-3c36659b64a9,bcf59ef3-e66b-49b6-92a8-478097e710c2,94e3b26a-8ffe-4ad7-b432-d7c7be4b5028,2db0a3fd-2399-4bfb-b676-2b19c197f391,309f6763-b665-495e-91b2-07007d5cdf04,0759b027-a95e-4679-9262-cd32edbc9490,d0766295-77cb-446a-9ebe-4820f57a8d36,0cd9169f-e533-4da9-8ed4-e56435fa4dc7,4054a92c-e4c6-4742-99fc-2e9bc0b99ed5,24a6594d-c21e-45e3-9863-f6b7e304f21c,50db711e-b2eb-4b33-ae9f-48ce6d860a48,a257fbd4-8d85-459a-984c-83040a164db6,19943aa8-5fe4-475c-8398-529ce6c0a3c3,7037419d-af1b-4420-a855-6af478e6e31a,33f500d7-0967-4bbf-9b40-d1d6ff8e3e3a,2d2554be-a947-4b7c-90b8-be1b4a0bd943,ea6594eb-a7a7-4aa9-a6b3-28a312c3adb4,e6d69ef2-2ae5-4a6c-b162-6eb465953c88,91cf017e-0026-4939-b9b0-151b13397092,21589a6c-f540-4927-ae32-cc626844aa9c,36091e7d-21aa-4471-bd96-8fd4d93c03ff,90879f6d-e07a-480d-ab46-5e654b2c8030,5608dff0-72ab-468c-b25f-d411ad581052,6d88ce71-ecd1-4edf-8935-ea9137ed1ef1,a416945e-cd2d-43f6-aeff-d35cb66684df,6f2d4c85-893f-40ed-8ec1-a03b53ec59c1,641c7068-0f33-42dd-a4fe-cafb541826ee,dc731794-8d31-4fb8-a4a5-c894e788fa0b,28a15efb-f538-41fd-9517-0fb86cae338b,79ab1074-d958-4de9-98a6-934277350b07,6fef6e45-aa6e-41e6-98b1-5dbb9a67b31f,f2c479c0-f730-4751-a83c-8be312ea9f04
hsa-let-7i,1555,1473,1751,3237,2084,2294,1559,2074,2271,1175,2010,2780,741,2566,1738,1603,3421,1978,1657,1373,1465,755,1100,1209,1788,1823,1524,1147,1916,1528,2150,1471,3493,1166,844,1750,1013,1625,1166,1731,1304,756,1016,1283,2620,1358,1434,857,876,1818,3098,1566,1469,1805,1076,3123,2184
hsa-mir-1-1,25,2,8,50,45,13,26,18,11,8,12,15,14,3,26,60,38,14,5,13,7,1,17,6,9,29,22,37,186,12,18,23,93,13,4,10,16,4,14,271,11,14,36,0,14,11,8,3,51,8,6,20,13,119,24,19,7
hsa-mir-1-2,35,2,7,51,49,14,17,22,10,4,12,14,17,6,32,66,39,12,10,4,4,2,12,3,12,25,39,37,191,11,20,30,78,19,1,11,15,9,12,260,8,9,32,6,9,5,16,4,51,13,15,40,22,123,21,13,10
hsa-mir-100,32748,32878,40738,12304,24008,36564,16995,74604,28935,23985,47872,35587,14050,71324,16646,36118,31542,48095,17344,12302,22078,11028,11484,32635,21794,28947,20634,29467,24397,34632,32542,16474,36648,17541,25642,26303,28408,47960,11650,5870,16087,16806,9593,11647,34460,21197,43264,4061,24198,26138,44974,29632,32152,16669,24200,68361,26977
hsa-mir-101-1,20936,10986,27696,16940,8763,31277,12174,17321,13455,13594,28389,26825,15384,28617,7533,24445,42866,16748,9170,5004,18295,4178,6143,36494,32385,28214,7790,11420,10446,15523,23358,7681,18317,5880,4588,23686,18265,20269,9518,19645,9603,10340,10853,2815,23536,9313,13901,6473,13159,11007,21416,9301,30918,13352,19927,46861,15780
hsa-mir-101-2,20903,11099,27511,16906,8825,31859,12273,17550,13604,13792,28775,27200,15601,29506,7573,24877,42947,17014,9370,4924,18380,4317,6413,36846,32592,28819,7807,11705,10627,15541,23363,7732,18646,5833,4598,23870,18184,20263,9562,19352,9571,10507,11234,2829,23772,9339,13869,6555,13222,11073,21450,9603,31238,13485,19980,47430,15590
hsa-mir-103a-1,13668,13066,9840,20858,19393,17400,16700,18112,18224,14205,17281,16789,9675,24692,14581,21840,16556,25429,18837,7167,14735,6479,14661,13981,10618,13727,11822,10560,23973,23748,18349,12723,26707,9773,8141,15539,8719,9925,12831,11176,14554,12448,10554,10840,23263,10840,22821,14021,8582,18490,22184,25428,12263,14424,11633,14296,12983
hsa-mir-103a-2,13859,13455,9928,20854,19384,17482,16490,17836,18127,13979,17126,16542,9467,24643,14741,21562,16097,25325,18769,7201,14615,6488,14505,13861,10713,13685,12083,10646,24177,24121,18453,12494,26883,10244,8302,15609,8753,10095,12987,11130,14566,12511,10546,10727,23434,10499,22884,13880,8588,18492,22408,25507,12127,14346,11675,14570,12690
hsa-mir-103b-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-103b-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-105-1,1,0,2,0,0,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,24
hsa-mir-105-2,2,3,1,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,1,5,2,0,0,0,0,23
hsa-mir-106a,25,8,35,65,47,29,45,17,12,7,22,22,18,22,38,22,33,11,12,15,40,5,88,52,42,37,5,15,44,29,32,24,29,6,10,6,10,20,87,49,8,31,23,24,13,12,11,39,17,8,31,19,38,50,30,55,23
hsa-mir-106b,1149,771,994,1447,1189,1544,972,1752,894,537,1385,1282,783,1080,1137,1057,1249,995,771,578,1263,260,1776,795,867,1200,797,790,985,1102,1429,936,1684,539,554,665,761,1038,1298,1142,474,1051,572,1011,1105,756,1008,910,758,693,1467,707,1095,1178,833,1528,1301
hsa-mir-107,77,115,93,180,203,115,109,147,90,46,121,129,46,93,113,88,124,115,90,60,85,30,165,102,85,91,46,59,179,116,128,139,194,45,42,59,55,100,153,123,46,80,50,132,87,52,166,48,67,67,161,69,80,142,76,123,99
hsa-mir-10a,114437,37871,67727,91008,101976,96571,140928,175365,99734,115357,97062,96039,44721,255497,95961,104682,116606,126581,113347,43359,50554,46421,103084,90649,54714,106164,80043,106198,119915,110628,65698,73948,173044,66979,70715,95567,99756,119438,81745,76475,93728,47428,28616,73110,128957,53435,96168,190541,70841,93050,137361,144059,66749,128854,63865,98670,64259
hsa-mir-10b,684556,174915,551761,624018,755519,869656,825355,1150630,704561,575006,692529,703911,398174,1396922,646926,966657,925435,940140,540551,393600,596019,260521,567967,451408,410324,860343,705109,872224,476178,868435,500500,522405,1188446,390964,507750,583061,586646,739395,414216,466579,666552,609137,266377,378750,1063572,553707,933625,65733,499603,683891,1039625,1002020,632704,635017,662324,762140,447836
hsa-mir-1178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1179,0,0,1,2,2,0,3,1,1,1,0,1,0,3,0,0,3,0,2,1,0,0,1,0,1,0,0,0,0,0,1,1,2,1,0,1,0,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2
hsa-mir-1180,34,60,18,3,7,18,0,16,12,5,7,8,22,14,8,30,2,8,9,2,25,2,32,33,3,10,7,14,11,18,13,3,17,9,1,8,29,11,27,5,7,25,7,3,14,1,15,15,13,16,15,8,14,4,8,10,15
hsa-mir-1181,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
hsa-mir-1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1184-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1184-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1184-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1185-1,2,2,1,0,0,1,2,1,0,1,0,1,1,0,1,1,2,2,0,0,3,0,0,1,3,2,1,1,0,0,6,1,1,0,0,0,1,0,3,0,0,5,0,0,2,1,0,1,0,6,0,0,1,0,0,1,4
hsa-mir-1185-2,0,0,0,4,0,4,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
hsa-mir-1193,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1197,1,0,0,2,0,2,0,1,1,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,1,0,1,1,0,2,1,0,0,0,1,0,0,0,3,0,0,1,1,0,0
hsa-mir-1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-mir-1224,1,0,1,0,7,1,0,2,1,0,0,0,0,0,1,0,1,0,3,1,0,0,5,3,1,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,1,1,1,0,0,6,0,1,0,3,0,1,2,1,0,0
hsa-mir-1225,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-mir-1226,1,0,1,5,6,1,3,4,2,1,1,3,0,0,4,0,2,3,5,0,0,0,1,2,2,2,2,0,7,2,6,4,4,4,1,0,0,2,1,1,2,4,0,4,1,1,2,1,1,3,3,2,0,11,0,1,3
hsa-mir-1227,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,2,0,0,1,0,1,1,0,0,0,2,0,0,1,0,2,3
hsa-mir-1228,1,1,0,5,49,5,4,3,9,0,1,4,1,1,16,2,7,5,9,4,0,0,11,0,1,1,3,6,3,1,0,13,2,3,1,1,0,2,7,2,1,2,0,11,4,3,6,2,3,3,1,2,0,27,3,0,3
hsa-mir-1229,1,4,2,2,4,1,1,1,2,0,0,1,0,1,1,0,0,1,3,0,1,0,2,1,0,0,0,0,0,0,3,2,1,0,0,1,1,2,1,0,0,0,0,3,1,2,1,1,0,0,1,0,0,2,0,1,1
hsa-mir-1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1233-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1233-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1234,1,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1236,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-mir-124-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-124-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-124-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1243,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-mir-1244-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1244-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1244-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1244-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1245a,10,1,11,13,7,18,7,14,11,10,5,7,3,21,6,19,7,12,3,2,12,2,9,4,6,7,6,4,8,8,11,8,10,8,9,5,0,8,4,5,5,11,3,6,15,5,7,5,8,12,18,13,9,10,9,6,13
hsa-mir-1245b,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hsa-mir-1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1247,184,272,132,196,424,134,308,699,140,140,258,247,216,271,342,779,917,326,185,95,221,172,119,180,77,255,530,476,76,388,272,310,331,141,158,141,154,217,165,982,170,228,137,169,148,152,733,50,112,220,310,474,115,200,309,487,171
hsa-mir-1248,2,1,3,1,5,11,1,2,6,1,4,10,1,5,3,3,2,3,1,4,2,1,6,4,16,4,1,2,3,3,2,1,2,0,2,3,1,6,1,7,1,1,6,6,6,2,2,0,0,2,3,2,10,1,0,5,5
hsa-mir-1249,8,8,14,14,16,16,12,17,22,2,17,12,0,12,25,4,17,8,4,12,3,6,17,5,16,9,7,11,4,12,11,13,8,4,2,15,4,39,5,7,7,7,1,16,16,6,9,7,5,2,13,4,6,10,8,9,6
hsa-mir-1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1251,4,1,8,0,1,5,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,1,4,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
