id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA,1.0,0,1,0.04929356907791629,0.19426048565121412,0.03768844221105528,0.01904761904761905
hsa-miR-155-5p,hsa-miR-155-5p,MicroRNA,1.0,0,1,0.01959284887082426,0.18487394957983194,0.01507537688442211,0.0
hsa-miR-106a-5p,hsa-miR-106a-5p,MicroRNA,1.0,0,1,0.03867009808813379,0.1974569932685116,0.02763819095477387,0.01818181818181818
hsa-miR-144-3p,hsa-miR-144-3p,MicroRNA,1.0,15,0,,,,
hsa-miR-532-5p,hsa-miR-532-5p,MicroRNA,1.0,4,0,,,,
hsa-miR-221-3p,hsa-miR-221-3p,MicroRNA,1.0,0,1,0.02336090738520241,0.20121951219512196,0.01256281407035176,0.0
hsa-miR-7-5p,hsa-miR-7-5p,MicroRNA,1.0,0,1,0.030059501534316295,0.1651031894934334,0.020100502512562814,0.0
hsa-miR-181b-5p,hsa-miR-181b-5p,MicroRNA,1.0,0,1,0.012424354264071914,0.2018348623853211,0.010050251256281407,0.16666666666666666
hsa-miR-501-3p,hsa-miR-501-3p,MicroRNA,1.0,0,1,0.0050000789175769925,0.19730941704035873,0.007537688442211055,0.3333333333333333
hsa-miR-148a-3p,hsa-miR-148a-3p,MicroRNA,1.0,0,1,0.1132208654287016,0.24043715846994534,0.04522613065326633,0.0
hsa-miR-148b-3p,hsa-miR-148b-3p,MicroRNA,1.0,0,1,0.0,0.16933932007697242,0.002512562814070352,
hsa-miR-146a-5p,hsa-miR-146a-5p,MicroRNA,1.0,0,1,0.0385637302597111,0.15348837209302327,0.02512562814070352,0.0
hsa-miR-205-5p,hsa-miR-205-5p,MicroRNA,1.0,1,0,,,,
hsa-miR-342-3p,hsa-miR-342-3p,MicroRNA,1.0,0,1,0.01723299154254921,0.1825726141078838,0.01256281407035176,0.0
hsa-miR-362-5p,hsa-miR-362-5p,MicroRNA,1.0,0,1,0.004322281266372277,0.22410865874363328,0.005025125628140704,0.0
hsa-miR-24-3p,hsa-miR-24-3p,MicroRNA,1.0,0,1,0.09103999426497893,0.1896551724137931,0.03768844221105528,0.0
hsa-miR-15b-5p,hsa-miR-15b-5p,MicroRNA,1.0,0,1,0.11372899885637504,0.24197983501374887,0.04773869346733668,0.017543859649122806
hsa-miR-130b-3p,hsa-miR-130b-3p,MicroRNA,1.0,0,1,0.08705744704811337,0.2521489971346705,0.02763819095477387,0.0
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA,1.0,0,1,0.012334610650572644,0.20137299771167047,0.01256281407035176,0.0
hsa-miR-9-5p,hsa-miR-9-5p,MicroRNA,1.0,16,0,,,,
hsa-miR-32-5p,hsa-miR-32-5p,MicroRNA,1.0,0,1,0.03719195998812312,0.22018348623853212,0.020100502512562814,0.03571428571428571
hsa-miR-760,hsa-miR-760,MicroRNA,1.0,17,0,,,,
hsa-miR-22-3p,hsa-miR-22-3p,MicroRNA,1.0,0,1,0.025793353790883915,0.14340032590983162,0.017587939698492462,0.0
hsa-miR-33b-5p,hsa-miR-33b-5p,MicroRNA,1.0,0,1,0.008635206945587904,0.17243631613324625,0.007537688442211055,0.0
hsa-miR-590-5p,hsa-miR-590-5p,MicroRNA,1.0,0,1,0.009025562994695487,0.20705882352941177,0.007537688442211055,0.6666666666666666
hsa-miR-182-5p,hsa-miR-182-5p,MicroRNA,1.0,0,1,0.015104685862454881,0.1815680880330124,0.01507537688442211,0.06666666666666667
hsa-miR-26a-5p,hsa-miR-26a-5p,MicroRNA,1.0,0,1,0.012929421450490234,0.17670682730923695,0.007537688442211055,0.0
hsa-miR-379-5p,hsa-miR-379-5p,MicroRNA,1.0,18,0,,,,
hsa-miR-16-5p,hsa-miR-16-5p,MicroRNA,1.0,0,1,0.039997258058418896,0.19426048565121412,0.03015075376884422,0.015151515151515152
hsa-miR-140-5p,hsa-miR-140-5p,MicroRNA,1.0,19,0,,,,
hsa-miR-98-5p,hsa-miR-98-5p,MicroRNA,1.0,0,1,0.06730409400493975,0.1685823754789272,0.01256281407035176,0.0
hsa-let-7d-5p,hsa-let-7d-5p,MicroRNA,1.0,0,1,0.04208984816450299,0.2160392798690671,0.010050251256281407,0.0
hsa-miR-421,hsa-miR-421,MicroRNA,1.0,0,1,0.0,0.16933932007697242,0.002512562814070352,
hsa-miR-378a-3p,hsa-miR-378a-3p,MicroRNA,1.0,0,1,0.01720492478107926,0.1794697484704283,0.01256281407035176,0.1
hsa-miR-532-3p,hsa-miR-532-3p,MicroRNA,1.0,20,0,,,,
hsa-let-7i-5p,hsa-let-7i-5p,MicroRNA,1.0,0,1,0.01176528717753863,0.17959183673469387,0.007537688442211055,0.0
hsa-miR-142-5p,hsa-miR-142-5p,MicroRNA,1.0,5,0,,,,
hsa-miR-128-3p,hsa-miR-128-3p,MicroRNA,1.0,0,1,0.03229510029309574,0.23056768558951965,0.01507537688442211,0.2
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA,1.0,21,0,,,,
hsa-let-7b-5p,hsa-let-7b-5p,MicroRNA,0.0,6,0,,,,
hsa-miR-185-5p,hsa-miR-185-5p,MicroRNA,1.0,22,0,,,,
hsa-miR-1271-5p,hsa-miR-1271-5p,MicroRNA,1.0,0,1,0.02211651331664278,0.18461538461538463,0.005025125628140704,0.0
hsa-miR-27a-3p,hsa-miR-27a-3p,MicroRNA,1.0,0,1,0.045395213275268055,0.19701492537313434,0.022613065326633167,0.08333333333333333
hsa-miR-363-3p,hsa-miR-363-3p,MicroRNA,1.0,23,0,,,,
hsa-miR-23b-3p,hsa-miR-23b-3p,MicroRNA,1.0,0,1,0.01723299154254921,0.17425742574257425,0.01256281407035176,0.0
hsa-miR-222-3p,hsa-miR-222-3p,MicroRNA,1.0,0,1,0.03906011637545474,0.192,0.01256281407035176,0.0
hsa-miR-502-3p,hsa-miR-502-3p,MicroRNA,1.0,0,1,0.02621161964524347,0.2391304347826087,0.01507537688442211,0.26666666666666666
hsa-miR-374c-5p,hsa-miR-374c-5p,MicroRNA,1.0,0,1,0.004322281266372277,0.20641125879593433,0.005025125628140704,0.0
hsa-miR-212-3p,hsa-miR-212-3p,MicroRNA,1.0,0,1,0.0,0.14473684210526316,0.002512562814070352,
hsa-miR-193a-3p,hsa-miR-193a-3p,MicroRNA,1.0,0,1,0.004322281266372277,0.16966580976863754,0.005025125628140704,0.0
hsa-miR-301a-3p,hsa-miR-301a-3p,MicroRNA,1.0,7,0,,,,
hsa-miR-195-5p,hsa-miR-195-5p,MicroRNA,1.0,24,0,,,,
hsa-miR-135b-5p,hsa-miR-135b-5p,MicroRNA,1.0,25,0,,,,
hsa-miR-150-5p,hsa-miR-150-5p,MicroRNA,1.0,0,1,0.0,0.13678756476683937,0.002512562814070352,
hsa-miR-30c-5p,hsa-miR-30c-5p,MicroRNA,1.0,0,1,0.021517850460294887,0.2001516300227445,0.01507537688442211,0.0
hsa-miR-378c,hsa-miR-378c,MicroRNA,1.0,0,1,0.008588429009804655,0.17922606924643583,0.007537688442211055,0.3333333333333333
hsa-miR-320b,hsa-miR-320b,MicroRNA,1.0,26,0,,,,
hsa-miR-452-5p,hsa-miR-452-5p,MicroRNA,1.0,27,0,,,,
hsa-miR-454-3p,hsa-miR-454-3p,MicroRNA,1.0,8,0,,,,
hsa-miR-223-3p,hsa-miR-223-3p,MicroRNA,1.0,0,1,0.005708942824206359,0.15077098800685323,0.007537688442211055,0.0
hsa-miR-339-5p,hsa-miR-339-5p,MicroRNA,1.0,9,0,,,,
hsa-miR-423-5p,hsa-miR-423-5p,MicroRNA,1.0,28,0,,,,
hsa-miR-429,hsa-miR-429,MicroRNA,1.0,0,1,0.004322281266372277,0.19954648526077098,0.005025125628140704,0.0
hsa-miR-196a-5p,hsa-miR-196a-5p,MicroRNA,1.0,29,0,,,,
hsa-miR-19b-3p,hsa-miR-19b-3p,MicroRNA,1.0,10,0,,,,
hsa-miR-125b-5p,hsa-miR-125b-5p,MicroRNA,1.0,0,1,0.004322281266372277,0.15913200723327306,0.005025125628140704,0.0
hsa-miR-92b-3p,hsa-miR-92b-3p,MicroRNA,1.0,30,0,,,,
hsa-miR-134-5p,hsa-miR-134-5p,MicroRNA,1.0,11,0,,,,
hsa-miR-340-5p,hsa-miR-340-5p,MicroRNA,1.0,31,0,,,,
hsa-miR-23a-3p,hsa-miR-23a-3p,MicroRNA,1.0,0,1,0.004322281266372277,0.14674819344080045,0.005025125628140704,0.0
hsa-miR-449a,hsa-miR-449a,MicroRNA,1.0,12,0,,,,
hsa-miR-338-3p,hsa-miR-338-3p,MicroRNA,1.0,32,0,,,,
hsa-miR-199a-5p,hsa-miR-199a-5p,MicroRNA,1.0,33,0,,,,
hsa-miR-15a-5p,hsa-miR-15a-5p,MicroRNA,1.0,13,0,,,,
hsa-miR-299-5p,hsa-miR-299-5p,MicroRNA,1.0,3,0,,,,
hsa-miR-107,hsa-miR-107,MicroRNA,1.0,0,1,0.0,0.18448637316561844,0.002512562814070352,
hsa-miR-186-5p,hsa-miR-186-5p,MicroRNA,1.0,14,0,,,,
hsa-miR-26b-5p,hsa-miR-26b-5p,MicroRNA,1.0,0,1,0.0,0.1350383631713555,0.002512562814070352,
hsa-miR-143-3p,hsa-miR-143-3p,MicroRNA,1.0,34,0,,,,
hsa-miR-708-5p,hsa-miR-708-5p,MicroRNA,1.0,35,0,,,,
hsa-miR-20b-5p,hsa-miR-20b-5p,MicroRNA,1.0,36,0,,,,
hsa-miR-200a-3p,hsa-miR-200a-3p,MicroRNA,1.0,0,1,0.0,0.15865384615384615,0.002512562814070352,
hsa-miR-374b-5p,hsa-miR-374b-5p,MicroRNA,1.0,0,1,0.0,0.1719869706840391,0.002512562814070352,
hsa-let-7f-5p,hsa-let-7f-5p,MicroRNA,1.0,0,1,0.0,0.1070559610705596,0.002512562814070352,
hsa-miR-30e-5p,hsa-miR-30e-5p,MicroRNA,1.0,13,0,,,,
hsa-miR-146b-5p,hsa-miR-146b-5p,MicroRNA,1.0,37,0,,,,
ZMAT3,ZMAT3,Messenger RNA,0.0,0,1,0.038020993632671966,0.3710094909404659,0.045454545454545456,0.6666666666666666
KLHL13,KLHL13,Messenger RNA,0.0,0,1,0.0,0.19230769230769232,0.015151515151515152,
FST,FST,Messenger RNA,0.0,0,1,0.0,0.2535377358490566,0.015151515151515152,
FAM126A,FAM126A,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.015151515151515152,
FRK,FRK,Messenger RNA,0.0,0,1,0.004376657824933687,0.2699309478970496,0.030303030303030304,0.0
NEDD4,NEDD4,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.015151515151515152,
RORA,RORA,Messenger RNA,0.0,0,1,0.07051912616386369,0.38392857142857145,0.045454545454545456,0.3333333333333333
FSTL1,FSTL1,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.015151515151515152,
SLC41A2,SLC41A2,Messenger RNA,0.0,0,1,0.0,0.31432748538011696,0.015151515151515152,
ZBTB4,ZBTB4,Messenger RNA,0.0,0,1,0.004764268191345721,0.3451043338683788,0.030303030303030304,1.0
ESR1,ESR1,Messenger RNA,0.0,3,0,,,,
NRG1,NRG1,Messenger RNA,0.0,0,1,0.03515837347147728,0.37005163511187605,0.030303030303030304,0.0
SH3PXD2A,SH3PXD2A,Messenger RNA,0.0,0,1,0.06769601806141406,0.38773669972948605,0.07575757575757576,0.2
NREP,NREP,Messenger RNA,0.0,0,1,0.027198190244114222,0.35714285714285715,0.045454545454545456,0.6666666666666666
FKBP14,FKBP14,Messenger RNA,0.0,0,1,0.008843106400890505,0.3284950343773873,0.030303030303030304,1.0
TMTC3,TMTC3,Messenger RNA,0.0,0,1,0.014634073909894402,0.32428355957767724,0.030303030303030304,0.0
MAF,MAF,Messenger RNA,0.0,0,1,0.017341270833156713,0.34649476228847703,0.030303030303030304,0.0
CREBRF,CREBRF,Messenger RNA,0.0,0,1,0.02065288504622098,0.3574397339983375,0.030303030303030304,1.0
KCNJ15,KCNJ15,Messenger RNA,0.0,0,1,0.030238726790450927,0.3467741935483871,0.030303030303030304,0.0
FNDC3A,FNDC3A,Messenger RNA,0.0,0,1,0.023093849229683203,0.39162112932604737,0.030303030303030304,1.0
PPIC,PPIC,Messenger RNA,0.0,0,1,0.0,0.31710914454277284,0.015151515151515152,
EIF4E2,EIF4E2,Messenger RNA,0.0,0,1,0.0,0.31710914454277284,0.015151515151515152,
NRP1,NRP1,Messenger RNA,0.0,0,1,0.0,0.299860529986053,0.015151515151515152,
PTPRD,PTPRD,Messenger RNA,3.0,0,1,0.0,0.3109182935647144,0.015151515151515152,
CREBL2,CREBL2,Messenger RNA,0.0,0,1,0.06872750528384,0.35073409461663946,0.030303030303030304,0.0
MAP4K4,MAP4K4,Messenger RNA,0.0,0,1,0.12748258522518585,0.3934126258005489,0.07575757575757576,0.0
FNDC3B,FNDC3B,Messenger RNA,0.0,0,1,0.009864579737789588,0.37005163511187605,0.030303030303030304,1.0
DAAM1,DAAM1,Messenger RNA,1.0,0,1,0.02398907637953404,0.3448275862068966,0.030303030303030304,0.0
LIFR,LIFR,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.015151515151515152,
ONECUT2,ONECUT2,Messenger RNA,0.0,2,0,,,,
CELF2,CELF2,Messenger RNA,0.0,0,1,0.02123606561145056,0.349025974025974,0.030303030303030304,0.0
FOXN3,FOXN3,Messenger RNA,0.0,0,1,0.007123369987314504,0.3084648493543759,0.030303030303030304,0.0
AHCYL2,AHCYL2,Messenger RNA,0.0,0,1,0.0,0.2591922845087402,0.015151515151515152,
ZEB1,ZEB1,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.015151515151515152,
CROT,CROT,Messenger RNA,0.0,0,1,0.013073133762788935,0.3302611367127496,0.030303030303030304,0.0
ATXN1,ATXN1,Messenger RNA,0.0,0,1,0.06266879010793923,0.4099142040038132,0.07575757575757576,0.3
HEG1,HEG1,Messenger RNA,0.0,0,1,0.04687717793113769,0.38530465949820786,0.06060606060606061,0.6666666666666666
LOX,LOX,Messenger RNA,0.0,0,1,0.030566181167275525,0.37037037037037035,0.030303030303030304,0.0
DZIP1,DZIP1,Messenger RNA,0.0,0,1,0.010718626718836539,0.36752136752136755,0.030303030303030304,1.0
PTEN,PTEN,Messenger RNA,0.0,0,1,0.0,0.274234693877551,0.015151515151515152,
WAC,WAC,Messenger RNA,0.0,0,1,0.0,0.3004891684136967,0.015151515151515152,
ETS1,ETS1,Messenger RNA,0.0,0,1,0.007504559094692982,0.3377847604084839,0.030303030303030304,0.0
COL11A1,COL11A1,Messenger RNA,0.0,15,0,,,,
TTC14,TTC14,Messenger RNA,4.0,4,0,,,,
KLF12,KLF12,Messenger RNA,0.0,0,1,0.085417852990404,0.3788546255506608,0.06060606060606061,0.3333333333333333
HIPK1,HIPK1,Messenger RNA,0.0,0,1,0.017757428851014025,0.3404592240696754,0.030303030303030304,0.0
SGCE,SGCE,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.015151515151515152,
DCP2,DCP2,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.015151515151515152,
GLI3,GLI3,Messenger RNA,0.0,0,1,0.0,0.23497267759562843,0.015151515151515152,
CBX7,CBX7,Messenger RNA,0.0,0,1,0.0,0.2794022092267706,0.015151515151515152,
KIT,KIT,Messenger RNA,0.0,0,1,0.008734369079196665,0.32428355957767724,0.030303030303030304,0.0
BNC2,BNC2,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.015151515151515152,
DOCK6,DOCK6,Messenger RNA,0.0,0,1,0.0,0.3235515425131678,0.015151515151515152,
TNS1,TNS1,Messenger RNA,0.0,0,1,0.0,0.36348267117497884,0.015151515151515152,
PLSCR4,PLSCR4,Messenger RNA,0.0,0,1,0.01607121852716775,0.36658141517476556,0.030303030303030304,1.0
MEIS2,MEIS2,Messenger RNA,0.0,0,1,0.004376657824933687,0.3000697836706211,0.030303030303030304,0.0
GJC1,GJC1,Messenger RNA,0.0,0,1,0.0,0.30824372759856633,0.015151515151515152,
PEAK1,PEAK1,Messenger RNA,0.0,0,1,0.08950275651809156,0.4045155221072437,0.045454545454545456,0.0
UHRF1BP1,UHRF1BP1,Messenger RNA,4.0,0,1,0.0,0.3325599381283836,0.015151515151515152,
ADAM22,ADAM22,Messenger RNA,0.0,0,1,0.004376657824933687,0.32379518072289154,0.030303030303030304,0.0
ERBB4,ERBB4,Messenger RNA,0.0,0,1,0.04551924341656688,0.2870493991989319,0.045454545454545456,0.0
SATB2,SATB2,Messenger RNA,0.0,1,0,,,,
ELMO1,ELMO1,Messenger RNA,0.0,0,1,0.0010726843184826389,0.27129337539432175,0.030303030303030304,1.0
PDGFRA,PDGFRA,Messenger RNA,0.0,0,1,0.0,0.2564102564102564,0.015151515151515152,
CLIP2,CLIP2,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.015151515151515152,
SOX17,SOX17,Messenger RNA,0.0,0,1,0.0,0.299860529986053,0.015151515151515152,
ATXN1L,ATXN1L,Messenger RNA,0.0,0,1,0.0,0.30518097941802697,0.015151515151515152,
STRN,STRN,Messenger RNA,0.0,0,1,0.0,0.32950191570881227,0.015151515151515152,
EIF5,EIF5,Messenger RNA,0.0,0,1,0.0,0.2649414664202095,0.015151515151515152,
KPNA3,KPNA3,Messenger RNA,0.0,0,1,0.0,0.2535377358490566,0.015151515151515152,
ARHGAP31,ARHGAP31,Messenger RNA,0.0,0,1,0.0,0.36348267117497884,0.015151515151515152,
SPIN1,SPIN1,Messenger RNA,0.0,0,1,0.0,0.3235515425131678,0.015151515151515152,
TBX18,TBX18,Messenger RNA,0.0,0,1,0.0,0.2564102564102564,0.015151515151515152,
VTA1,VTA1,Messenger RNA,0.0,0,1,0.0,0.31710914454277284,0.015151515151515152,
CCN4,CCN4,Messenger RNA,0.0,0,1,0.0,0.32526475037821484,0.015151515151515152,
TBX15,TBX15,Messenger RNA,0.0,0,1,0.0,0.2564102564102564,0.015151515151515152,
ITM2B,ITM2B,Messenger RNA,0.0,0,1,0.0,0.3109182935647144,0.015151515151515152,
PTPRM,PTPRM,Messenger RNA,0.0,0,1,0.0,0.3364632237871675,0.015151515151515152,
RSBN1L,RSBN1L,Messenger RNA,0.0,0,1,0.0065647157992990155,0.26791277258566976,0.030303030303030304,0.0
CALU,CALU,Messenger RNA,0.0,0,1,0.0481563541420795,0.35833333333333334,0.06060606060606061,0.0
NR5A2,NR5A2,Messenger RNA,0.0,0,1,0.009014858390948812,0.3536184210526316,0.030303030303030304,0.0
TCF12,TCF12,Messenger RNA,0.0,0,1,0.0,0.23497267759562843,0.015151515151515152,
CLMN,CLMN,Messenger RNA,0.0,16,0,,,,
JCAD,JCAD,Messenger RNA,0.0,0,1,0.03133199354864922,0.3527481542247744,0.045454545454545456,0.0
PDZD2,PDZD2,Messenger RNA,0.0,0,1,0.0,0.3006993006993007,0.015151515151515152,
CDK6,CDK6,Messenger RNA,0.0,17,0,,,,
BAG1,BAG1,Messenger RNA,0.0,0,1,0.0,0.2203997949769349,0.015151515151515152,
HAS2,HAS2,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.015151515151515152,
CPEB4,CPEB4,Messenger RNA,0.0,0,1,0.04585471107037975,0.3401898734177215,0.07575757575757576,0.0
MSL2,MSL2,Messenger RNA,0.0,0,1,0.0,0.20752895752895753,0.015151515151515152,
DEUP1,DEUP1,Messenger RNA,0.0,0,1,0.0,0.2697616060225847,0.015151515151515152,
MEF2D,MEF2D,Messenger RNA,0.0,0,1,0.058710965139745955,0.3453815261044177,0.06060606060606061,0.16666666666666666
GPR137C,GPR137C,Messenger RNA,0.0,0,1,0.0,0.3235515425131678,0.015151515151515152,
SECISBP2L,SECISBP2L,Messenger RNA,0.0,1,0,,,,
GPR157,GPR157,Messenger RNA,0.0,2,0,,,,
MACIR,MACIR,Messenger RNA,0.0,0,1,0.0,0.3235515425131678,0.015151515151515152,
IL1RAP,IL1RAP,Messenger RNA,0.0,0,1,0.0,0.274234693877551,0.015151515151515152,
KLF6,KLF6,Messenger RNA,0.0,0,1,0.050114601147147116,0.3785211267605634,0.045454545454545456,0.3333333333333333
JAKMIP2,JAKMIP2,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.015151515151515152,
C17orf58,C17orf58,Messenger RNA,0.0,0,1,0.0,0.20752895752895753,0.015151515151515152,
CALN1,CALN1,Messenger RNA,0.0,0,1,0.0,0.32950191570881227,0.015151515151515152,
NAV1,NAV1,Messenger RNA,0.0,0,1,0.017392951875710497,0.33965244865718797,0.030303030303030304,0.0
TGFBR2,TGFBR2,Messenger RNA,0.0,0,1,0.0,0.36348267117497884,0.015151515151515152,
IGF1R,IGF1R,Messenger RNA,0.0,18,0,,,,
CALM1,CALM1,Messenger RNA,0.0,1,0,,,,
C18orf25,C18orf25,Messenger RNA,0.0,0,1,0.04492949966681219,0.3470540758676352,0.045454545454545456,0.0
ADAM10,ADAM10,Messenger RNA,0.0,0,1,0.0,0.31432748538011696,0.015151515151515152,
MTDH,MTDH,Messenger RNA,0.0,0,1,0.0010726843184826389,0.27129337539432175,0.030303030303030304,1.0
SGMS2,SGMS2,Messenger RNA,0.0,0,1,0.0,0.27044025157232704,0.015151515151515152,
RALGPS2,RALGPS2,Messenger RNA,0.0,0,1,0.0,0.3364632237871675,0.015151515151515152,
GALNT1,GALNT1,Messenger RNA,0.0,0,1,0.0,0.27044025157232704,0.015151515151515152,
CSRNP3,CSRNP3,Messenger RNA,0.0,0,1,0.018577735434477903,0.3524590163934426,0.030303030303030304,0.0
SYNPO2,SYNPO2,Messenger RNA,0.0,0,1,0.0,0.299860529986053,0.015151515151515152,
TNPO1,TNPO1,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.015151515151515152,
ZBTB20,ZBTB20,Messenger RNA,0.0,0,1,0.16605896829025762,0.45358649789029537,0.10606060606060606,0.3333333333333333
ZNF827,ZNF827,Messenger RNA,0.0,19,0,,,,
PTAR1,PTAR1,Messenger RNA,0.0,0,1,0.0,0.2392877017250974,0.015151515151515152,
NRP2,NRP2,Messenger RNA,0.0,0,1,0.0,0.32526475037821484,0.015151515151515152,
NFAT5,NFAT5,Messenger RNA,0.0,0,1,0.029776645312456197,0.3694158075601375,0.030303030303030304,0.0
CDH11,CDH11,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.015151515151515152,
IPO5,IPO5,Messenger RNA,0.0,0,1,0.0,0.3006993006993007,0.015151515151515152,
MGAT5,MGAT5,Messenger RNA,0.0,0,1,0.004376657824933687,0.32379518072289154,0.030303030303030304,0.0
RSBN1,RSBN1,Messenger RNA,0.0,0,1,0.0,0.20752895752895753,0.015151515151515152,
HOXA3,HOXA3,Messenger RNA,0.0,0,1,0.0,0.32526475037821484,0.015151515151515152,
ABI2,ABI2,Messenger RNA,0.0,0,1,0.004414550966275104,0.25309005297233667,0.045454545454545456,0.3333333333333333
CHD3,CHD3,Messenger RNA,0.0,20,0,,,,
ADAMTS5,ADAMTS5,Messenger RNA,0.0,0,1,0.0,0.32526475037821484,0.015151515151515152,
PHAX,PHAX,Messenger RNA,0.0,0,1,0.0,0.3235515425131678,0.015151515151515152,
FOXO1,FOXO1,Messenger RNA,0.0,0,1,0.012353606606676329,0.3323029366306028,0.030303030303030304,1.0
TMOD3,TMOD3,Messenger RNA,0.0,0,1,0.0,0.31710914454277284,0.015151515151515152,
FEM1B,FEM1B,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.015151515151515152,
ANKIB1,ANKIB1,Messenger RNA,0.0,0,1,0.0,0.27044025157232704,0.015151515151515152,
ZNF106,ZNF106,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.015151515151515152,
MOB3B,MOB3B,Messenger RNA,0.0,0,1,0.0,0.299860529986053,0.015151515151515152,
ARPP19,ARPP19,Messenger RNA,0.0,5,0,,,,
PLXDC2,PLXDC2,Messenger RNA,0.0,0,1,0.02002617739384505,0.38188277087033745,0.045454545454545456,1.0
C5orf24,C5orf24,Messenger RNA,0.0,0,1,0.0,0.20752895752895753,0.015151515151515152,
IFNAR2,IFNAR2,Messenger RNA,0.0,0,1,0.0,0.2535377358490566,0.015151515151515152,
ING1,ING1,Messenger RNA,0.0,0,1,0.0,0.3364632237871675,0.015151515151515152,
BMF,BMF,Messenger RNA,0.0,1,0,,,,
DTWD2,DTWD2,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.015151515151515152,
GBA2,GBA2,Messenger RNA,0.0,0,1,0.0,0.2649414664202095,0.015151515151515152,
DIO2,DIO2,Messenger RNA,0.0,0,1,0.0,0.31710914454277284,0.015151515151515152,
GNB5,GNB5,Messenger RNA,0.0,21,0,,,,
MIB1,MIB1,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.015151515151515152,
SMAD5,SMAD5,Messenger RNA,0.0,5,0,,,,
