accession_id,is_expressed,f3a7612e-35c3-43be-8f96-795874f8225c,3abbb570-87ad-44c5-b66d-141f63b0ca8b,dc300e50-f729-4d0e-8a33-606e95d91c95,a00a04b4-8de5-4f18-9dc2-531e21aa5167,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,557f6cb1-95e3-4c8c-b253-538a415b0d07,ed76d786-d744-4067-b288-5fe2dc06a310,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,37fb952c-2a89-4903-98b9-6f6d36743218,a576843f-a9f7-47cf-a52f-7f01066fa160,0f40e7fd-789f-49f7-a797-76bbe3c84f47,ddde9a13-c70c-464c-8066-65a88ab92dc7,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aef6b437-1da5-4f69-970b-977cdc9cd5c5,8ecef704-ed0f-4700-a34e-46a174033332,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,be8e6554-07ae-4ec2-8be0-8598556467c9,d7438c8a-6e39-4139-92e7-2aa05bae5d40,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,e83d4619-5e2b-4da7-8c05-93611ea76c85,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,f424bcaa-7212-4abc-8110-cff56b85c85a,e896f815-d8df-42cc-bdf6-04deb50f6c1a,85236a1e-2adb-459b-b868-b9486d9a285e,a4fc56a4-2493-451a-9b30-5aa38258bcce,6dc4e6bf-a8f6-4280-af19-5ed501969f01,7e975ee3-173d-4315-aacf-c201122d9868,52fed7ff-b663-4fc1-a294-57776659175a,d68e848a-5464-4471-88bd-3faf7e088d91,81ec1c9c-36c0-48e8-929a-8273d1d3febe,0f7a5400-3b1d-42d3-b47a-2979084bf616,8334ded1-3815-4766-8861-6fa8313fab6b,0895e2a3-5571-4ee2-b715-a424d0c9fec4,585f73db-7dc1-49d8-a601-f8d33b318a95,02fc7dd7-7e17-4930-8424-52173c33b29b,41cd380c-ab97-451e-80b7-3d9653a1e909,54fb48bb-ab47-4870-beb0-5713d15d8b58,415d3af2-fc41-43d5-b185-6a09946b9e84,265fa10b-9393-4c95-99a0-df47069deaac,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,8f6d8863-21b1-4469-b233-21bb7c9b954c,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,86e3408b-76a3-4834-b85e-4d2a07677304,f4987886-cc3e-4423-84ae-84911abcd473,86b5eaae-717c-4806-be60-7ffcab935908,e351b00e-5462-4be5-a57c-162a9b7b996e,3be37b85-90eb-4f47-909a-8be730172d92,3d4b6861-2763-451d-ae0a-6a5adfc591ec,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,eaf6af76-2b28-4128-9371-a3d928d72370,d0982681-8799-412d-a868-81078e4a6560,a44df6fa-36a7-4500-90fd-d62baf48ef52,646eb67c-2e86-4f89-867f-78c31eff5fe0,91b36078-362b-4909-ac90-1b2d1ea4a545,aafbf8fb-290d-408e-b104-241b7d492895,ff79f645-81f1-4a3b-ae72-adc169f30143
MIMAT0000072,0,3.230386,5.5733,6.962202,2.869624,1.230827,2.2932,35.702003,10.145328,2.799652,4.2362850000000005,27.983462,7.373247,9.824389,4.694532,1.651712,46.29668,19.590131,4.3149,2.142497,10.595319,37.093749,6.42928,1.431589,42.85262,6.678577000000001,8.9848,8.680308,5.649044,4.36409,11.95756,19.20285,8.876412,7.404334,7.594139,4.427389,,8.107515,5.228025000000001,6.738476,9.904221,11.232995,66.396181,9.373273,10.414835,8.346198000000001,12.301829,13.43008,21.737791,9.841134,2.637759,7.85151,12.276878,24.021501,18.314605,5.8095870000000005,16.287034
MIMAT0000073,1,9.691159,46.815722,4.973001,34.435492,14.769922,17.581201,34.244778000000004,21.484225,13.298347,12.708854,105.997958,24.130628,48.303246,49.762035,14.865406,118.956754,37.591874,6.903836999999999,41.931748,46.120804,62.55640699999999,12.215632,9.734799,69.088918,37.566994,28.451867,24.80088,17.816212,30.548628,30.558206,73.73894899999999,54.526526,15.919317,43.666299,7.378984,13.388314,9.72902,35.102447,30.804463,17.827598,36.251939,78.46821399999999,16.559451,25.118132,48.793155,17.954021,35.455411,12.076550999999998,38.380425,36.049375,9.107754,10.23073,86.299469,25.973438,18.485049,58.633322
MIMAT0000074,1,59.762146,112.580666,43.099346,103.306475,60.310514000000005,68.41380600000001,116.577967,75.19479,38.495215,43.239321,496.070443,96.522507,203.037373,143.65266400000002,49.551355,258.489814,150.896963,49.189837,91.515276,127.76709,220.362017,200.593551,32.640208,271.10841300000004,126.475548,103.3252,116.564136,87.342887,162.094761,110.275264,150.166295,140.75451900000002,57.013367,127.201825,46.487602,38.755648,42.879753,124.725717,84.71227400000001,80.224191,166.96315099999998,419.228774,77.485737,110.887361,184.900381,78.13323600000001,346.496062,96.209856,131.871201,127.491693,58.101189000000005,36.830627,243.77376,109.55463,72.883909,136.268183
MIMAT0000075,1,27.458283,104.778045,59.012951,130.08963500000002,104.620278,71.471405,235.341778,113.388969,55.99303999999999,391.345066,559.66922,99.20368700000002,504.318637,93.890629,85.063158,563.276312,148.249647,62.134529,87.53635200000001,164.539083,339.816462,68.150373,57.26351999999999,299.093799,178.651928,160.228932,120.90429,95.599179,216.334164,140.83346999999998,155.543093,144.558697,146.23558,205.041749,53.866587,35.937055,81.255331,113.522809,88.562832,84.68109,247.125886,605.796552,136.224924,216.260989,246.212833,126.343104,300.833792,237.102949,172.219854,207.50372,85.73851,32.056289,580.964474,136.527045,101.403701,184.586384
MIMAT0000076,1,155754.69092599998,430080.996771,560074.024777,204491.344732,265746.582614,263281.164302,161631.712702,371218.477867,318330.23155,312526.504172,273488.299523,308562.350854,392743.869987,331289.334302,119531.079025,185951.914455,385185.412652,154088.451952,270412.039121,227894.734868,350338.511897,172660.899173,311406.177309,150767.761535,338150.535116,516325.007167,367513.699387,167500.624654,174099.12718,295170.34207,204746.176711,225870.42722000004,350439.68782,295419.595158,399753.54191,347108.264956,288695.689771,341398.929604,178232.218487,212270.73584600005,379651.736319,219949.692552,298460.68957,428612.125192,324405.469845,231218.516045,244031.000917,376260.2384,409740.558165,325563.66715,269286.140501,307089.691448,193049.244971,51624.871634,254620.99838300003,301035.421039
MIMAT0000077,1,52716.67412,62175.18109,51720.874038,53900.15429,130230.090761,85772.183559,43782.313956000005,75132.724771,82729.01678399999,144419.038099,63178.174936,66648.792126,45594.17086300001,91341.49994,61502.314462,24452.36489,60840.596682,94355.595908,82363.444817,84395.462212,60531.968369,77317.884202,96391.109839,34837.431151,47031.372615,67415.200334,72234.42287800001,87594.48566600001,83524.937654,101443.941638,40795.689345,67525.39604600001,84813.67550999999,105464.236038,104907.762691,33469.377398,86160.919787,55872.639363,75912.78679,87155.661178,96233.066263,43103.741564,70603.567028,67632.10146399999,66399.138933,79965.541585,73356.171631,62707.490238,80568.384565,111550.835335,82857.636379,57887.517897000005,53640.013772000006,13525.168261,108819.903859,73119.010442
MIMAT0000078,1,1922.079852,4434.675063,2787.201613,2749.100132,3176.763962,3244.878231,3611.002626,2026.08185,4039.897839,6431.994994,4161.055842,2411.722119,1933.767243,5700.100179999999,3278.64791,1885.303823,3061.884697,5844.960547,9176.319636,4890.051742,2053.044692,7976.808298,5689.416988,2356.019571,4616.983620999999,1111.868996,3462.20284,3721.415301,4193.26683,4585.059431,4555.684425,4232.780076,4488.136593,4391.310786,3493.949229,1398.02191,3122.835178,2516.173266,4328.989743,3122.800951,3112.560734,4109.429684,1975.573865,2763.6071330000004,1709.044488,2584.3814,5006.196639,12341.429858,3005.482495,3222.462452,4259.602396,4325.552748,3043.61326,974.669905,4419.51134,4297.605373
MIMAT0000079,1,19.382317,13.93325,4.973,11.478496,6.154134999999999,12.2304,13.843634,8.354976,11.898521,1.606868,8.479835999999999,16.087083999999997,3.274796,36.617345,6.606848,14.789217,20.119594,16.396612,8.876063,12.465082,13.202861,32.789329,1.4315890000000002,23.612668,6.678576,8.236066000000001,8.060286,15.208961,4.9875300000000005,7.307397,6.528969,11.412528,10.736283,7.594139,13.282171,1.409296,20.358874,16.430934,14.920911,15.351542,14.807129,14.266949,3.749308,7.351648,12.198288,6.317156,13.430079,4.830621,20.666382,9.671783,8.479631,13.640973,4.448426,5.993871,11.091031,8.143517
MIMAT0000080,1,1739.5630239999998,1888.791476,1161.693164,748.971952,621.567537,1811.628129,1965.067411,1156.269095,1008.574633,1315.73162,858.159467,2178.459391,907.937288,1807.394638,812.642206,1337.459735,1459.729569,2432.739381,1867.952324,2063.594356,1199.888469,3963.651417,857.521206,1223.486034,1661.295977,381.854,1648.638496,1705.576258,867.2069769999999,1777.026074,1511.264387,1046.148462,1054.006841,1459.9731969999998,1046.340019,353.733363,1114.513259,1195.72378,1538.779208,1533.173443,1824.851064,1934.268883,1299.448308,841.1510949999999,951.145533,959.210134,2358.859256,5624.854824,730.2121800000001,994.435206,1408.875338,2979.8707,1074.739791,551.103075,1624.571807,1990.275553
MIMAT0000081,1,21827.720266,10698.507302,7514.868445,25598.005802000003,10783.273557,7010.695102000001,13072.033528000002,10090.72311,4108.489315,10342.08584,20631.442555,14651.982732,9763.805313,10610.580159,13336.746873,28976.579663,18720.753785,13767.112888,9109.290053,5275.846034,13460.001152,4040.802784,9270.391184,9381.225656,6368.440383,3316.888653,9386.513034,7852.603448,15053.615957,12429.217894,10029.6492,18798.970844,7683.476601,5696.869823,10371.900823,9812.93001,6733.562684,10039.299805,13156.8751,5612.722168,11748.691355,6721.378584,8344.401606000001,6098.19229,11253.884596000002,11840.011068,14909.537665999998,5653.436002,5695.064572,8191.121477,7925.316412,7307.469592,18646.023598,9392.727705,6796.160602000001,14627.928134999998
MIMAT0000082,1,1284.078556,1202.718208,1341.384288,1949.431479,797.5757649999999,1445.098302,2298.77185,990.661522,1233.246706,1144.235129,1255.86381,1358.688362,1338.573005,1244.989761,1515.445572,1457.702508,2873.925322,2109.985022,1707.571032,2277.370513,1373.726122,2630.218644,918.793173,766.974448,1139.114754,689.583399,1994.61077,2050.167841,1115.960097,2360.289218,1337.28656,1949.006286,793.374309,1114.439878,845.631636,923.089063,1744.197042,1309.993444,5346.499673,1930.332716,1066.623914,1806.963809,2967.578774,1023.717027,1818.50808,1372.485069,2316.957407,1449.1861,1406.298124,689.334395,1148.205138,2732.969074,1097.8716029999998,369.622002,1217.900711,1748.68455
MIMAT0000083,1,936.812029,566.247313,547.361708,673.405181,337.24654200000003,986.45827,604.748221,321.36821000000003,329.659023,286.898734,1149.865849,650.186341,689.34463,725.774574,294.830556,1174.778337,1465.553663,736.984544,353.206124,1253.987268,781.483553,2446.984151,288.035505,923.517692,547.2258860000001,716.537796,906.472162,1354.466545,584.7880289999999,928.703722,503.882816,630.225195,270.998598,780.2977659999999,230.962218,343.868292,216.380606,687.111726,1069.973784,989.431699,560.117968,1284.5740280000002,646.755954,422.107141,1086.93175,470.794297,1242.013803,346.99956,705.609348,442.264287,396.972455,752.981749,748.225302,1111.862935,350.687801,782.320532
MIMAT0000084,1,907.738552,1203.832869,1398.739575,560.5332900000001,552.641232,964.672869,1409.864828,819.9812840000001,871.391686,1478.901623,464.695048,945.786524,511.68693,1673.131036,502.946243,576.136503,1894.418718,975.166902,1396.9088009999998,1635.418783,728.986471,2835.312693,959.163954,321.831923,1289.382732,134.02326599999998,1209.042896,1140.672019,724.438903,1878.001017,1362.250266,1175.490453,1026.24059,625.250765,929.014166,324.138143,1075.777353,765.532087,1112.811237,1160.279515,1125.3418390000002,1058.497778,707.369796,613.862635,549.244012,749.414085,2148.275605,3439.40168,536.341833,757.0368819999999,1220.753114,2137.540575,946.625112,221.440208,1222.654009,1168.323237
MIMAT0000085,1,75.914078,81.370184,88.85096,71.740604,84.92705000000001,121.539608,133.336052,122.937513,67.191648,52.296207,69.534662,76.413652,50.759342,98.58516,75.152887,100.952489,135.542533,143.254607,72.844935,75.413745,105.622878,167.161292,68.429905,80.457982,32.558061,38.1854,120.90429,112.980848,86.658353,110.939574,62.985351,54.526527,61.826183,69.61294000000001,62.721366,43.688183,132.2426,40.330472,113.591456,73.78644800000001,99.565182,74.627113,113.729064,49.623626,81.856942,97.417181,162.235364,63.603168,56.094467,70.340245,67.20894,75.025355,149.467124,60.271697,73.412054,187.843791
MIMAT0000086,1,3999.218245,1748.9016399999998,3135.311724,3674.075717,1261.597468,3656.125462,3752.353419,2716.262602,2332.81003,2043.788286,6935.658392,3171.166582,2724.630561,2248.6806,2247.979751,1845.437237,4907.592814,2441.36917,4105.638621,2774.104039,3184.089676,4613.008748,3450.986008,5283.990433999999,1787.771524,2077.734992,4283.111966,6317.367547,1817.955113,6156.149774,2681.486146,3852.362458,1498.637047,3093.34589,3327.184177,1453.689114,3167.156269,1481.024514,4908.980028999999,3944.851313,3307.09578,4806.863938,6425.692268,2393.574168,8906.998002,2941.799386,3372.024499,3106.893981,4726.696932,3180.258307,2833.139659,3577.345345,1589.867552,714.935526,3415.509063,3816.594968
MIMAT0000087,1,33791.455948,8142.034444000001,27444.006485,55820.889526000006,27468.361598,39311.566021,9057.379674,21062.597871,30367.125366,7666.214653999999,17583.789266,20713.462206,18044.946578,22039.886616,18329.871624,6049.433282999999,6508.159553999999,8294.096532,6647.865733,16021.370135,7308.411576,16432.597994,20986.793601,8571.398588,54318.117304,72865.978978,87147.191982,22028.223487,43099.127182,19550.608378,98925.7925,29265.527695,4684.721642,27261.692759,3068.181816,29063.212573,20934.508382000004,15604.157926,32347.09314,8065.502557000001,6441.101325999999,3740.13523,8128.503844,12680.980732,48342.782194,10012.690834,10059.129955,20049.892257000003,11998.31126,7592.350147,4314.24892,5541.645552,8512.508528,1829.129411,5633.715039,8673.388504999999
MIMAT0000088,1,78629.217876,1339.821398,6520.26813,8247.3004,14236.973545,10612.548162,4825.599358,10795.226682,8146.987328,2139.323811,2445.584889,18274.92828,6158.254533,2805.45204,4387.772379,594.783776,1843.590268,2292.073706,1707.571036,3667.850432,1953.708888,7576.264125,10805.912457,1008.348391,6725.326831,4048.401116,21579.865654,11839.523746,15032.418951,6538.791648,22612.893559,3179.0232650000003,1904.764728,1952.326528,1258.854778,4277.214215,8161.026085,1734.957108,11291.279784,3140.628551,2629.54196,523.4872369999999,2797.297619,4476.541196,13490.344574,5417.791705,7098.603109,8236.610222,1148.460402,2578.849217,1812.443076,2829.819986,1962.645674,257.736422,2071.910013,2106.999298
MIMAT0000089,0,8.075965,33.997132,3.9784,0.956541,4.923308,16.816800999999998,2.9144490000000003,0.298392,2.099739,2.629418,6.78387,10.054426,1.637398,3.755625,2.477568,0.643009,63.535563,11.218736,0.918213,,1.571769,7.072208000000001,2.004223,124.185143,1.669644,2.2462,1.860066,6.083584,0.623441,9.300324,3.072456,1.268059,2.2213,15.821122,0.737898,,1.80167,,0.96264,6.9329540000000005,2.552954,1.097458,4.999079,2.45055,0.642016,19.283948,1.611609,0.805104,2.9523390000000003,0.879253,33.29041,6.138439,7.117482,,4.225154,1.085802
MIMAT0000090,1,16.151930999999998,22.850531,19.560472,40.17474,14.769922,19.492202,94.719601,17.008345000000002,39.895041,10.371595,47.487086,35.525645,7.368291,17.83922,9.084415,32.793482,110.657772,12.081714,26.016047,33.655721,28.291842,52.7201,19.469599,32.358101,13.774565,7.487333,38.441364,34.763338000000005,16.832917,23.915118,52.999869,36.773704,19.621483,15.188278,8.116881,23.958036,39.096245,19.418375,66.42212500000001,31.693508,17.870674,20.851694,41.554848,15.92857,43.015021,29.590886,76.820058,20.127585,4.920567,18.464314,22.612354,40.92292,60.498597,8.990805,36.441955,34.745672
MIMAT0000091,1,56.531760000000006,30.653151,26.854208,11.478498,19.69323,10.7016,78.690129,8.951761,31.496085,2.483339,33.071364,60.326567,13.917884999999998,135.20250800000002,6.606847,84.877252,71.477508,6.040857,23.567479,31.78596,35.836335,27.002978,16.606422000000002,11.369062,6.678576,5.989867,48.981738,12.167169,3.740649,27.90097,47.239014,26.629234,15.178883,15.188278,7.378984,16.206907,16.034865,28.380702,74.12324100000001,20.303654,21.444809000000003,12.072033,24.682954,15.315933,7.062168,29.590886,37.067021,64.00572,5.904681,12.309543,41.770042,92.076572,47.153318,9.656791,40.138966,35.831474
MIMAT0000092,1,5932.604449,14012.391674,3124.039583,15548.581299999998,5809.502477,2648.64619,9797.649786,5875.637362,3086.6163340000003,10963.212836,10062.174165,17040.244523,13238.364239,10689.448291,9299.963251,12541.900102,5397.346117,5403.977994,3244.966503,6134.690198,10071.267152,4133.384424,4583.658426,7486.090388,15134.072426,3151.418587,3363.619342,4441.885477,8223.192016,4436.918567,7595.111718,9827.455246,8833.369555,2999.051999,3473.288072,5352.507278,5413.478832,8440.271324000001,3381.271175,5640.949199000001,8213.87214,15859.907352,5296.525103,6172.32141,9774.360547,6307.845608,12594.191865,14050.261802,2340.221796,11250.922116,7061.0219480000005,6334.186124,16349.745949,3146.115908,7244.555098,5646.714685
MIMAT0000093,1,3012.335228,2387.044528,1428.577584,7241.018790999999,3101.683525,5890.466822,3798.984605,4582.704719,1154.856451,13071.567942,10794.832049,2417.084483,10800.278355,2008.320586,3266.260073,15396.219229,3326.616211,6138.373597000001,3166.000143,2699.936802,8254.930876,2308.111694,2628.109234,8035.303562,2376.738515,2571.898991,4071.064442,3273.837329,11003.117205,4553.172605,3828.280421,4970.790267,4861.314987000001,7645.399283,4433.293976999999,1671.42539,2430.092934,4596.179961,3922.274564,3191.140079,6957.819085,4623.039804999999,2813.857069,4607.032953,6854.475378,4944.337557000001,7221.622639,3517.496709,5243.356494,6016.728668,4310.794253,1087.86765,9918.211235,7286.215297000001,4140.123013,6185.815514000001
MIMAT0000094,0,1.615193,3.34398,3.315334,2.869624,1.230827,0.7644,,7.4598,5.599304,0.584315,5.935886,1.34059,1.637398,7.51125,4.1292800000000005,8.359122000000001,7.941945,1.72596,10.100348,3.739524,1.886123,1.285856,1.431589,3.498173,5.843754,2.2462,0.620022,4.345418,0.623441,2.657236,6.913026,10.14447,2.2213000000000003,1.898535,1.475797,7.751129,2.522338,1.493721,8.663755,1.485633,1.021182,2.194915,2.811981,1.837911,3.852092,0.332482,2.148813,4.025517,1.968227,,0.942181,1.364097,4.448426,3.995914,1.584433,4.343208000000001
