miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7b	hg38:chr22:46113691-46113713:+	14311	13833.575638	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3212	3104.845570	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	5.799836	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	1.933279	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	25	24.165984	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	23	22.232705	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	3.866557	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113763:+	1	0.966639	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113741-46113763:+	1	0.966639	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	2	1.933279	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	37	35.765656	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.966639	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	3	2.899918	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	9	8.699754	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	6	5.799836	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	2	1.933279	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	23	22.232705	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	96	92.797377	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	752	726.912786	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	36	34.799016	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.966639	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.966639	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	3.866557	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.966639	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	1.933279	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	9	8.699754	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178839-94178862:+	1	0.966639	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	8	7.733115	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	78	75.397869	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	575	555.817622	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	27	26.099262	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.966639	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	26	25.132623	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	7	6.766475	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	9	8.699754	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	19	18.366148	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	185	178.828278	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1107	1070.069753	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.966639	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.966639	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	4	3.866557	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	49	47.365328	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	2	1.933279	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692813:+	10	9.666393	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	114	110.196885	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	684	661.181311	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	57	55.098443	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	2	1.933279	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	3	2.899918	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.966639	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692859:+	1	0.966639	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.966639	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	1	0.966639	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	15	14.499590	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176352-94176375:+	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	79	76.364508	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	350	338.323770	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	2192	2118.873440	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	30	28.999180	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176378:+	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	3	2.899918	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	2	1.933279	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	11	10.633033	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176376:+	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	7	6.766475	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	3	2.899918	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	2	1.933279	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176404-94176426:+	1	0.966639	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	6	5.799836	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.966639	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	74	71.531311	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	15	14.499590	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	2150	2078.274587	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	2	1.933279	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557270:-	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	369	356.689918	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557270:-	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	65	62.831557	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	1	0.966639	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557289:-	1	0.966639	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	2	1.933279	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	5	4.833197	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	21	20.299426	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	2	1.933279	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	1	0.966639	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268357:-	4	3.866557	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	61	58.965000	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	32	30.932459	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1767	1708.051719	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	23	22.232705	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268355:-	1	0.966639	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	186	179.794918	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	7	6.766475	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	5	4.833197	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	1	0.966639	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603671-62603691:+	1	0.966639	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603710:+	1	0.966639	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	6	5.799836	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	331	319.957623	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	460	444.654098	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	1001	967.605982	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	2	1.933279	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603710:+	1	0.966639	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603712:+	2	1.933279	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603713:+	9	8.699754	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603714:+	2	1.933279	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	1	0.966639	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603696-62603718:+	1	0.966639	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	18	17.399508	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	27	26.099262	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	126	121.796557	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603770:+	1	0.966639	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	1	0.966639	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152240-122152261:-	1	0.966639	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152240-122152262:-	1	0.966639	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152273-122152297:-	6	5.799836	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	5	4.833197	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152295:-	2	1.933279	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	4	3.866557	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	287	277.425491	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152293:-	1	0.966639	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152295:-	2	1.933279	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	8	7.733115	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	1347	1302.063195	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	1	0.966639	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	8	7.733115	N	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058440-65058463:-	1	0.966639	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058463:-	283	273.558934	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058464:-	2	1.933279	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058463:-	186	179.794918	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058442-65058464:-	144	139.196065	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058463:-	310	299.658196	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058443-65058464:-	702	678.580819	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058463:-	4	3.866557	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058444-65058464:-	10	9.666393	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058478-65058500:-	5	4.833197	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058479-65058499:-	1	0.966639	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058479-65058500:-	2	1.933279	N	mature,MIMAT0004513
hsa-mir-101-1	hg38:chr1:65058479-65058503:-	1	0.966639	N	mature,MIMAT0004513
hsa-mir-101-2	hg38:chr9:4850343-4850365:+	1	0.966639	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850364:+	7	6.766475	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850365:+	677	654.414835	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850344-4850366:+	149	144.029262	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850364:+	2	1.933279	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850365:+	317	306.424672	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850366:+	167	161.428770	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850367:+	235	227.160246	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850368:+	48	46.398688	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850345-4850369:+	1	0.966639	N	mature,MIMAT0000099
hsa-mir-101-2	hg38:chr9:4850347-4850368:+	1	0.966639	N	mature,MIMAT0000099
hsa-mir-103a-1	hg38:chr5:168560902-168560927:-	2	1.933279	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560903-168560925:-	4	3.866557	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560903-168560927:-	63	60.898279	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560925:-	169	163.362049	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560926:-	133	128.563033	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560927:-	18005	17404.341371	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560904-168560928:-	2	1.933279	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560925:-	2	1.933279	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560926:-	25	24.165984	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560905-168560927:-	1794	1734.150981	N	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560906-168560927:-	18	17.399508	Y	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560907-168560927:-	1	0.966639	Y	mature,MIMAT0000101
hsa-mir-103a-1	hg38:chr5:168560940-168560964:-	3	2.899918	N	unannotated
hsa-mir-103a-1	hg38:chr5:168560941-168560964:-	24	23.199344	N	unannotated
hsa-mir-103a-2	hg38:chr20:3917486-3917504:+	1	0.966639	N	precursor
hsa-mir-103a-2	hg38:chr20:3917504-3917527:+	3	2.899918	N	mature,MIMAT0009196
hsa-mir-103a-2	hg38:chr20:3917505-3917527:+	1	0.966639	N	mature,MIMAT0009196
hsa-mir-103a-2	hg38:chr20:3917540-3917563:+	1	0.966639	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917540-3917564:+	14	13.532951	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917562:+	37	35.765656	Y	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917563:+	1817	1756.383686	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917564:+	18165	17559.003665	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917565:+	48	46.398688	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917541-3917566:+	5	4.833197	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917563:+	32	30.932459	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917542-3917564:+	128	123.729836	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917563:+	3	2.899918	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917564:+	152	146.929180	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917543-3917565:+	5	4.833197	N	mature,MIMAT0000101
hsa-mir-103a-2	hg38:chr20:3917545-3917564:+	2	1.933279	N	mature,MIMAT0000101
hsa-mir-105-1	hg38:chrX:152392264-152392286:-	5	4.833197	N	mature,MIMAT0000102
hsa-mir-105-1	hg38:chrX:152392264-152392288:-	2	1.933279	N	mature,MIMAT0000102
hsa-mir-105-1	hg38:chrX:152392265-152392284:-	1	0.966639	N	mature,MIMAT0000102
hsa-mir-105-1	hg38:chrX:152392265-152392286:-	5	4.833197	N	mature,MIMAT0000102
hsa-mir-105-1	hg38:chrX:152392265-152392287:-	2	1.933279	N	mature,MIMAT0000102
hsa-mir-105-1	hg38:chrX:152392265-152392288:-	85	82.164344	N	mature,MIMAT0000102
hsa-mir-105-1	hg38:chrX:152392266-152392286:-	4	3.866557	N	mature,MIMAT0000102
hsa-mir-105-1	hg38:chrX:152392266-152392287:-	2	1.933279	N	mature,MIMAT0000102
hsa-mir-105-1	hg38:chrX:152392266-152392288:-	159	153.695656	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394457-152394479:-	7	6.766475	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394457-152394481:-	4	3.866557	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394458-152394477:-	1	0.966639	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394458-152394479:-	2	1.933279	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394458-152394480:-	1	0.966639	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394458-152394481:-	68	65.731475	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394459-152394479:-	6	5.799836	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394459-152394481:-	144	139.196065	N	mature,MIMAT0000102
hsa-mir-105-2	hg38:chrX:152394460-152394481:-	1	0.966639	N	mature,MIMAT0000102
hsa-mir-106a	hg38:chrX:134170243-134170266:-	1	0.966639	N	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170264:-	73	70.564672	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170265:-	18	17.399508	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170266:-	7	6.766475	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170244-134170267:-	8	7.733115	N	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170245-134170264:-	1	0.966639	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170245-134170267:-	2	1.933279	N	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170246-134170264:-	4	3.866557	Y	mature,MIMAT0000103
hsa-mir-106a	hg38:chrX:134170246-134170266:-	1	0.966639	Y	mature,MIMAT0000103
hsa-mir-106b	hg38:chr7:100094001-100094024:-	6	5.799836	N	mature,MIMAT0004672
hsa-mir-106b	hg38:chr7:100094002-100094024:-	8	7.733115	N	mature,MIMAT0004672
