mirna_id,genome_assembly,chromosome,position_range,strand,cross_mapped,region_type,accession_id,read_count,reads_per_million,is_mirna_of_interest
hsa-let-7a-1,hg38,chr9,94176013-94176034,+,N,mature,MIMAT0004481,54,52.198525,1
hsa-let-7a-1,hg38,chr9,94176013-94176035,+,N,mature,MIMAT0004481,50,48.331967,1
hsa-let-7a-1,hg38,chr9,94176014-94176034,+,N,mature,MIMAT0004481,1,0.966639,1
hsa-let-7a-1,hg38,chr9,94176014-94176035,+,N,mature,MIMAT0004481,3,2.899918,1
hsa-let-7a-1,hg38,chr9,94176014-94176036,+,N,mature,MIMAT0004481,10,9.666393,1
hsa-let-7a-2,hg38,chr11,122146523-122146545,-,N,mature,MIMAT0010195,4,3.866557,1
hsa-let-7a-2,hg38,chr11,122146525-122146545,-,N,mature,MIMAT0010195,1,0.966639,1
hsa-let-7a-2,hg38,chr11,122146566-122146590,-,N,mature,MIMAT0000062,3,2.899918,1
hsa-let-7a-2,hg38,chr11,122146567-122146589,-,N,mature,MIMAT0000062,4,3.866557,1
hsa-let-7a-2,hg38,chr11,122146567-122146590,-,N,mature,MIMAT0000062,187,180.761557,1
hsa-let-7a-2,hg38,chr11,122146568-122146586,-,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-2,hg38,chr11,122146568-122146587,-,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-2,hg38,chr11,122146568-122146589,-,N,mature,MIMAT0000062,27,26.099262,1
hsa-let-7a-2,hg38,chr11,122146568-122146590,-,N,mature,MIMAT0000062,7695,7438.289744,1
hsa-let-7a-2,hg38,chr11,122146569-122146587,-,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-2,hg38,chr11,122146569-122146589,-,N,mature,MIMAT0000062,3,2.899918,1
hsa-let-7a-2,hg38,chr11,122146569-122146590,-,N,mature,MIMAT0000062,1213,1172.533523,1
hsa-let-7a-2,hg38,chr11,122146570-122146590,-,N,mature,MIMAT0000062,295,285.158606,1
hsa-let-7a-2,hg38,chr11,122146571-122146590,-,N,mature,MIMAT0000062,8,7.733115,1
hsa-let-7a-3,hg38,chr22,46112751-46112771,+,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-3,hg38,chr22,46112751-46112772,+,N,mature,MIMAT0000062,26,25.132623,1
hsa-let-7a-3,hg38,chr22,46112751-46112773,+,N,mature,MIMAT0000062,63,60.898279,1
hsa-let-7a-3,hg38,chr22,46112751-46112774,+,N,mature,MIMAT0000062,107,103.43041,1
hsa-let-7a-3,hg38,chr22,46112752-46112771,+,N,mature,MIMAT0000062,10,9.666393,1
hsa-let-7a-3,hg38,chr22,46112752-46112772,+,N,mature,MIMAT0000062,291,281.292049,1
hsa-let-7a-3,hg38,chr22,46112752-46112773,+,N,mature,MIMAT0000062,1146,1107.768687,1
hsa-let-7a-3,hg38,chr22,46112752-46112774,+,N,mature,MIMAT0000062,7747,7488.55499,1
hsa-let-7a-3,hg38,chr22,46112752-46112775,+,N,mature,MIMAT0000062,216,208.794098,1
hsa-let-7a-3,hg38,chr22,46112752-46112776,+,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-3,hg38,chr22,46112752-46112780,+,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-3,hg38,chr22,46112753-46112773,+,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-3,hg38,chr22,46112753-46112774,+,N,mature,MIMAT0000062,11,10.633033,1
hsa-let-7a-3,hg38,chr22,46112755-46112774,+,N,mature,MIMAT0000062,1,0.966639,1
hsa-let-7a-3,hg38,chr22,46112795-46112817,+,N,mature,MIMAT0004481,1,0.966639,1
hsa-let-7a-3,hg38,chr22,46112800-46112820,+,N,mature,MIMAT0004481,3,2.899918,1
hsa-let-7a-3,hg38,chr22,46112800-46112821,+,N,mature,MIMAT0004481,48,46.398688,1
hsa-let-7a-3,hg38,chr22,46112800-46112822,+,N,mature,MIMAT0004481,51,49.298606,1
hsa-let-7a-3,hg38,chr22,46112800-46112823,+,N,mature,MIMAT0004481,1,0.966639,1
hsa-let-7a-3,hg38,chr22,46112801-46112823,+,N,mature,MIMAT0004481,5,4.833197,1
hsa-let-7a-3,hg38,chr22,46112801-46112824,+,N,mature,MIMAT0004481,1,0.966639,1
hsa-let-7a-3,hg38,chr22,46112801-46112825,+,N,mature,MIMAT0004481,1,0.966639,1
hsa-let-7a-3,hg38,chr22,46112802-46112824,+,N,mature,MIMAT0004481,6,5.799836,1
hsa-let-7a-3,hg38,chr22,46112802-46112825,+,N,mature,MIMAT0004481,1,0.966639,1
hsa-let-7b,hg38,chr22,46113690-46113713,+,N,mature,MIMAT0000063,1,0.966639,1
hsa-let-7b,hg38,chr22,46113691-46113709,+,N,mature,MIMAT0000063,1,0.966639,1
hsa-let-7b,hg38,chr22,46113691-46113710,+,N,mature,MIMAT0000063,60,57.998361,1
hsa-let-7b,hg38,chr22,46113691-46113711,+,N,mature,MIMAT0000063,2996,2896.051472,1
hsa-let-7b,hg38,chr22,46113691-46113712,+,N,mature,MIMAT0000063,3019,2918.284177,1
hsa-let-7b,hg38,chr22,46113691-46113713,+,N,mature,MIMAT0000063,14311,13833.575638,1
hsa-let-7b,hg38,chr22,46113691-46113714,+,N,mature,MIMAT0000063,3212,3104.84557,1
hsa-let-7b,hg38,chr22,46113691-46113715,+,N,mature,MIMAT0000063,6,5.799836,1
hsa-let-7b,hg38,chr22,46113692-46113711,+,N,mature,MIMAT0000063,2,1.933279,1
hsa-let-7b,hg38,chr22,46113692-46113713,+,N,mature,MIMAT0000063,25,24.165984,1
hsa-let-7b,hg38,chr22,46113692-46113714,+,N,mature,MIMAT0000063,23,22.232705,1
hsa-let-7b,hg38,chr22,46113694-46113714,+,N,mature,MIMAT0000063,4,3.866557,1
hsa-let-7b,hg38,chr22,46113739-46113763,+,N,mature,MIMAT0004482,1,0.966639,1
hsa-let-7b,hg38,chr22,46113741-46113763,+,N,mature,MIMAT0004482,1,0.966639,1
hsa-let-7b,hg38,chr22,46113745-46113765,+,N,mature,MIMAT0004482,2,1.933279,1
hsa-let-7b,hg38,chr22,46113745-46113766,+,N,mature,MIMAT0004482,37,35.765656,1
hsa-let-7c,hg38,chr21,16539837-16539857,+,N,mature,MIMAT0000064,1,0.966639,1
hsa-let-7c,hg38,chr21,16539837-16539858,+,N,mature,MIMAT0000064,3,2.899918,1
hsa-let-7c,hg38,chr21,16539837-16539859,+,N,mature,MIMAT0000064,9,8.699754,1
hsa-let-7c,hg38,chr21,16539837-16539860,+,N,mature,MIMAT0000064,6,5.799836,1
hsa-let-7c,hg38,chr21,16539838-16539857,+,N,mature,MIMAT0000064,2,1.933279,1
hsa-let-7c,hg38,chr21,16539838-16539858,+,N,mature,MIMAT0000064,23,22.232705,1
hsa-let-7c,hg38,chr21,16539838-16539859,+,N,mature,MIMAT0000064,96,92.797377,1
hsa-let-7c,hg38,chr21,16539838-16539860,+,N,mature,MIMAT0000064,752,726.912786,1
hsa-let-7c,hg38,chr21,16539838-16539861,+,N,mature,MIMAT0000064,36,34.799016,1
hsa-let-7c,hg38,chr21,16539838-16539862,+,N,mature,MIMAT0000064,1,0.966639,1
hsa-let-7c,hg38,chr21,16539839-16539859,+,N,mature,MIMAT0000064,1,0.966639,1
hsa-let-7c,hg38,chr21,16539839-16539860,+,N,mature,MIMAT0000064,4,3.866557,1
hsa-let-7c,hg38,chr21,16539883-16539903,+,N,mature,MIMAT0026472,1,0.966639,1
hsa-let-7c,hg38,chr21,16539883-16539904,+,N,mature,MIMAT0026472,2,1.933279,1
hsa-let-7c,hg38,chr21,16539883-16539905,+,N,mature,MIMAT0026472,9,8.699754,1
hsa-let-7d,hg38,chr9,94178839-94178862,+,N,mature,MIMAT0000065,1,0.966639,1
hsa-let-7d,hg38,chr9,94178841-94178861,+,N,mature,MIMAT0000065,8,7.733115,1
hsa-let-7d,hg38,chr9,94178841-94178862,+,N,mature,MIMAT0000065,78,75.397869,1
hsa-let-7d,hg38,chr9,94178841-94178863,+,N,mature,MIMAT0000065,575,555.817622,1
hsa-let-7d,hg38,chr9,94178841-94178864,+,N,mature,MIMAT0000065,27,26.099262,1
hsa-let-7d,hg38,chr9,94178842-94178862,+,N,mature,MIMAT0000065,1,0.966639,1
hsa-let-7d,hg38,chr9,94178842-94178863,+,N,mature,MIMAT0000065,26,25.132623,1
hsa-let-7d,hg38,chr9,94178842-94178864,+,N,mature,MIMAT0000065,7,6.766475,1
hsa-let-7d,hg38,chr9,94178843-94178863,+,N,mature,MIMAT0000065,9,8.699754,1
hsa-let-7d,hg38,chr9,94178895-94178915,+,N,mature,MIMAT0004484,19,18.366148,1
hsa-let-7d,hg38,chr9,94178895-94178916,+,N,mature,MIMAT0004484,185,178.828278,1
hsa-let-7d,hg38,chr9,94178895-94178917,+,N,mature,MIMAT0004484,1107,1070.069753,1
hsa-let-7d,hg38,chr9,94178895-94178918,+,N,mature,MIMAT0004484,1,0.966639,1
hsa-let-7d,hg38,chr9,94178896-94178915,+,N,mature,MIMAT0004484,1,0.966639,1
hsa-let-7d,hg38,chr9,94178896-94178916,+,N,mature,MIMAT0004484,4,3.866557,1
hsa-let-7d,hg38,chr9,94178896-94178917,+,N,mature,MIMAT0004484,49,47.365328,1
hsa-let-7d,hg38,chr9,94178896-94178918,+,N,mature,MIMAT0004484,2,1.933279,1
hsa-let-7e,hg38,chr19,51692793-51692813,+,N,mature,MIMAT0000066,10,9.666393,1
hsa-let-7e,hg38,chr19,51692793-51692814,+,N,mature,MIMAT0000066,114,110.196885,1
hsa-let-7e,hg38,chr19,51692793-51692815,+,N,mature,MIMAT0000066,684,661.181311,1
hsa-let-7e,hg38,chr19,51692793-51692816,+,N,mature,MIMAT0000066,57,55.098443,1
hsa-let-7e,hg38,chr19,51692793-51692817,+,N,mature,MIMAT0000066,2,1.933279,1
hsa-let-7e,hg38,chr19,51692794-51692815,+,N,mature,MIMAT0000066,3,2.899918,1
hsa-let-7e,hg38,chr19,51692794-51692816,+,N,mature,MIMAT0000066,1,0.966639,1
hsa-let-7e,hg38,chr19,51692836-51692859,+,N,mature,MIMAT0004485,1,0.966639,1
hsa-let-7e,hg38,chr19,51692838-51692858,+,N,mature,MIMAT0004485,1,0.966639,1
hsa-let-7e,hg38,chr19,51692838-51692859,+,N,mature,MIMAT0004485,1,0.966639,1
hsa-let-7e,hg38,chr19,51692838-51692860,+,N,mature,MIMAT0004485,15,14.49959,1
hsa-let-7f-1,hg38,chr9,94176352-94176375,+,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-1,hg38,chr9,94176353-94176371,+,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-1,hg38,chr9,94176353-94176373,+,N,mature,MIMAT0000067,79,76.364508,1
hsa-let-7f-1,hg38,chr9,94176353-94176374,+,N,mature,MIMAT0000067,350,338.32377,1
hsa-let-7f-1,hg38,chr9,94176353-94176375,+,N,mature,MIMAT0000067,2192,2118.87344,1
hsa-let-7f-1,hg38,chr9,94176353-94176376,+,N,mature,MIMAT0000067,30,28.99918,1
hsa-let-7f-1,hg38,chr9,94176353-94176377,+,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-1,hg38,chr9,94176353-94176378,+,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-1,hg38,chr9,94176353-94176379,+,N,mature,MIMAT0000067,3,2.899918,1
hsa-let-7f-1,hg38,chr9,94176354-94176374,+,N,mature,MIMAT0000067,2,1.933279,1
hsa-let-7f-1,hg38,chr9,94176354-94176375,+,N,mature,MIMAT0000067,11,10.633033,1
hsa-let-7f-1,hg38,chr9,94176354-94176376,+,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-1,hg38,chr9,94176358-94176379,+,N,mature,MIMAT0000067,7,6.766475,1
hsa-let-7f-1,hg38,chr9,94176358-94176380,+,N,mature,MIMAT0000067,3,2.899918,1
hsa-let-7f-1,hg38,chr9,94176358-94176381,+,N,mature,MIMAT0000067,2,1.933279,1
hsa-let-7f-1,hg38,chr9,94176404-94176426,+,N,mature,MIMAT0004486,1,0.966639,1
hsa-let-7f-1,hg38,chr9,94176409-94176430,+,N,mature,MIMAT0004486,6,5.799836,1
hsa-let-7f-2,hg38,chrX,53557197-53557218,-,N,mature,MIMAT0004487,1,0.966639,1
hsa-let-7f-2,hg38,chrX,53557244-53557268,-,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-2,hg38,chrX,53557245-53557267,-,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-2,hg38,chrX,53557245-53557268,-,N,mature,MIMAT0000067,74,71.531311,1
hsa-let-7f-2,hg38,chrX,53557245-53557269,-,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-2,hg38,chrX,53557246-53557267,-,N,mature,MIMAT0000067,15,14.49959,1
hsa-let-7f-2,hg38,chrX,53557246-53557268,-,N,mature,MIMAT0000067,2150,2078.274587,1
hsa-let-7f-2,hg38,chrX,53557246-53557269,-,N,mature,MIMAT0000067,2,1.933279,1
hsa-let-7f-2,hg38,chrX,53557246-53557270,-,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-2,hg38,chrX,53557247-53557267,-,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-2,hg38,chrX,53557247-53557268,-,N,mature,MIMAT0000067,369,356.689918,1
hsa-let-7f-2,hg38,chrX,53557247-53557270,-,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-2,hg38,chrX,53557248-53557268,-,N,mature,MIMAT0000067,65,62.831557,1
hsa-let-7f-2,hg38,chrX,53557250-53557268,-,N,mature,MIMAT0000067,1,0.966639,1
hsa-let-7f-2,hg38,chrX,53557268-53557289,-,N,precursor,,1,0.966639,0
hsa-let-7g,hg38,chr3,52268278-52268301,-,N,mature,MIMAT0004584,2,1.933279,1
hsa-let-7g,hg38,chr3,52268279-52268301,-,N,mature,MIMAT0004584,5,4.833197,1
hsa-let-7g,hg38,chr3,52268280-52268301,-,N,mature,MIMAT0004584,21,20.299426,1
hsa-let-7g,hg38,chr3,52268280-52268302,-,N,mature,MIMAT0004584,2,1.933279,1
hsa-let-7g,hg38,chr3,52268281-52268301,-,N,mature,MIMAT0004584,1,0.966639,1
hsa-let-7g,hg38,chr3,52268335-52268357,-,N,mature,MIMAT0000414,4,3.866557,1
hsa-let-7g,hg38,chr3,52268335-52268358,-,N,mature,MIMAT0000414,61,58.965,1
hsa-let-7g,hg38,chr3,52268336-52268357,-,N,mature,MIMAT0000414,32,30.932459,1
hsa-let-7g,hg38,chr3,52268336-52268358,-,N,mature,MIMAT0000414,1767,1708.051719,1
hsa-let-7g,hg38,chr3,52268336-52268359,-,N,mature,MIMAT0000414,23,22.232705,1
hsa-let-7g,hg38,chr3,52268337-52268355,-,N,mature,MIMAT0000414,1,0.966639,1
hsa-let-7g,hg38,chr3,52268337-52268358,-,N,mature,MIMAT0000414,186,179.794918,1
hsa-let-7g,hg38,chr3,52268337-52268359,-,N,mature,MIMAT0000414,7,6.766475,1
hsa-let-7g,hg38,chr3,52268338-52268358,-,N,mature,MIMAT0000414,5,4.833197,1
hsa-let-7g,hg38,chr3,52268339-52268358,-,N,mature,MIMAT0000414,1,0.966639,1
hsa-let-7i,hg38,chr12,62603671-62603691,+,N,precursor,,1,0.966639,0
hsa-let-7i,hg38,chr12,62603691-62603710,+,N,mature,MIMAT0000415,1,0.966639,1
hsa-let-7i,hg38,chr12,62603691-62603711,+,N,mature,MIMAT0000415,6,5.799836,1
hsa-let-7i,hg38,chr12,62603691-62603712,+,N,mature,MIMAT0000415,331,319.957623,1
hsa-let-7i,hg38,chr12,62603691-62603713,+,N,mature,MIMAT0000415,460,444.654098,1
hsa-let-7i,hg38,chr12,62603691-62603714,+,N,mature,MIMAT0000415,1001,967.605982,1
hsa-let-7i,hg38,chr12,62603691-62603715,+,N,mature,MIMAT0000415,2,1.933279,1
hsa-let-7i,hg38,chr12,62603692-62603710,+,N,mature,MIMAT0000415,1,0.966639,1
hsa-let-7i,hg38,chr12,62603692-62603712,+,N,mature,MIMAT0000415,2,1.933279,1
hsa-let-7i,hg38,chr12,62603692-62603713,+,N,mature,MIMAT0000415,9,8.699754,1
hsa-let-7i,hg38,chr12,62603692-62603714,+,N,mature,MIMAT0000415,2,1.933279,1
hsa-let-7i,hg38,chr12,62603694-62603714,+,N,mature,MIMAT0000415,1,0.966639,1
hsa-let-7i,hg38,chr12,62603696-62603718,+,N,mature,MIMAT0000415,1,0.966639,1
hsa-let-7i,hg38,chr12,62603747-62603767,+,N,mature,MIMAT0004585,18,17.399508,1
hsa-let-7i,hg38,chr12,62603747-62603768,+,N,mature,MIMAT0004585,27,26.099262,1
hsa-let-7i,hg38,chr12,62603747-62603769,+,N,mature,MIMAT0004585,126,121.796557,1
hsa-let-7i,hg38,chr12,62603747-62603770,+,N,mature,MIMAT0004585,1,0.966639,1
hsa-mir-1-1,hg38,chr20,62554351-62554373,+,N,mature,MIMAT0000416,1,0.966639,1
hsa-mir-100,hg38,chr11,122152240-122152261,-,N,mature,MIMAT0004512,1,0.966639,1
hsa-mir-100,hg38,chr11,122152240-122152262,-,N,mature,MIMAT0004512,1,0.966639,1
hsa-mir-100,hg38,chr11,122152273-122152297,-,N,mature,MIMAT0000098,6,5.799836,1
hsa-mir-100,hg38,chr11,122152274-122152297,-,N,mature,MIMAT0000098,5,4.833197,1
hsa-mir-100,hg38,chr11,122152275-122152295,-,N,mature,MIMAT0000098,2,1.933279,1
hsa-mir-100,hg38,chr11,122152275-122152296,-,N,mature,MIMAT0000098,4,3.866557,1
hsa-mir-100,hg38,chr11,122152275-122152297,-,N,mature,MIMAT0000098,287,277.425491,1
hsa-mir-100,hg38,chr11,122152276-122152293,-,N,mature,MIMAT0000098,1,0.966639,1
hsa-mir-100,hg38,chr11,122152276-122152295,-,N,mature,MIMAT0000098,2,1.933279,1
hsa-mir-100,hg38,chr11,122152276-122152296,-,N,mature,MIMAT0000098,8,7.733115,1
hsa-mir-100,hg38,chr11,122152276-122152297,-,N,mature,MIMAT0000098,1347,1302.063195,1
hsa-mir-100,hg38,chr11,122152276-122152298,-,N,mature,MIMAT0000098,1,0.966639,1
hsa-mir-100,hg38,chr11,122152277-122152297,-,N,mature,MIMAT0000098,8,7.733115,1
hsa-mir-101-1,hg38,chr1,65058440-65058463,-,N,mature,MIMAT0000099,1,0.966639,1
hsa-mir-101-1,hg38,chr1,65058441-65058463,-,N,mature,MIMAT0000099,283,273.558934,1
hsa-mir-101-1,hg38,chr1,65058441-65058464,-,N,mature,MIMAT0000099,2,1.933279,1
hsa-mir-101-1,hg38,chr1,65058442-65058463,-,N,mature,MIMAT0000099,186,179.794918,1
hsa-mir-101-1,hg38,chr1,65058442-65058464,-,N,mature,MIMAT0000099,144,139.196065,1
hsa-mir-101-1,hg38,chr1,65058443-65058463,-,N,mature,MIMAT0000099,310,299.658196,1
hsa-mir-101-1,hg38,chr1,65058443-65058464,-,N,mature,MIMAT0000099,702,678.580819,1
hsa-mir-101-1,hg38,chr1,65058444-65058463,-,N,mature,MIMAT0000099,4,3.866557,1
hsa-mir-101-1,hg38,chr1,65058444-65058464,-,N,mature,MIMAT0000099,10,9.666393,1
hsa-mir-101-1,hg38,chr1,65058478-65058500,-,N,mature,MIMAT0004513,5,4.833197,1
hsa-mir-101-1,hg38,chr1,65058479-65058499,-,N,mature,MIMAT0004513,1,0.966639,1
hsa-mir-101-1,hg38,chr1,65058479-65058500,-,N,mature,MIMAT0004513,2,1.933279,1
hsa-mir-101-1,hg38,chr1,65058479-65058503,-,N,mature,MIMAT0004513,1,0.966639,1
hsa-mir-101-2,hg38,chr9,4850343-4850365,+,N,mature,MIMAT0000099,1,0.966639,1
hsa-mir-101-2,hg38,chr9,4850344-4850364,+,N,mature,MIMAT0000099,7,6.766475,1
hsa-mir-101-2,hg38,chr9,4850344-4850365,+,N,mature,MIMAT0000099,677,654.414835,1
hsa-mir-101-2,hg38,chr9,4850344-4850366,+,N,mature,MIMAT0000099,149,144.029262,1
hsa-mir-101-2,hg38,chr9,4850345-4850364,+,N,mature,MIMAT0000099,2,1.933279,1
hsa-mir-101-2,hg38,chr9,4850345-4850365,+,N,mature,MIMAT0000099,317,306.424672,1
hsa-mir-101-2,hg38,chr9,4850345-4850366,+,N,mature,MIMAT0000099,167,161.42877,1
hsa-mir-101-2,hg38,chr9,4850345-4850367,+,N,mature,MIMAT0000099,235,227.160246,1
hsa-mir-101-2,hg38,chr9,4850345-4850368,+,N,mature,MIMAT0000099,48,46.398688,1
hsa-mir-101-2,hg38,chr9,4850345-4850369,+,N,mature,MIMAT0000099,1,0.966639,1
hsa-mir-101-2,hg38,chr9,4850347-4850368,+,N,mature,MIMAT0000099,1,0.966639,1
hsa-mir-103a-1,hg38,chr5,168560902-168560927,-,N,mature,MIMAT0000101,2,1.933279,1
hsa-mir-103a-1,hg38,chr5,168560903-168560925,-,N,mature,MIMAT0000101,4,3.866557,1
hsa-mir-103a-1,hg38,chr5,168560903-168560927,-,N,mature,MIMAT0000101,63,60.898279,1
hsa-mir-103a-1,hg38,chr5,168560904-168560925,-,N,mature,MIMAT0000101,169,163.362049,1
hsa-mir-103a-1,hg38,chr5,168560904-168560926,-,N,mature,MIMAT0000101,133,128.563033,1
hsa-mir-103a-1,hg38,chr5,168560904-168560927,-,N,mature,MIMAT0000101,18005,17404.341371,1
hsa-mir-103a-1,hg38,chr5,168560904-168560928,-,N,mature,MIMAT0000101,2,1.933279,1
hsa-mir-103a-1,hg38,chr5,168560905-168560925,-,N,mature,MIMAT0000101,2,1.933279,1
hsa-mir-103a-1,hg38,chr5,168560905-168560926,-,N,mature,MIMAT0000101,25,24.165984,1
hsa-mir-103a-1,hg38,chr5,168560905-168560927,-,N,mature,MIMAT0000101,1794,1734.150981,1
hsa-mir-103a-1,hg38,chr5,168560906-168560927,-,Y,mature,MIMAT0000101,18,17.399508,1
hsa-mir-103a-1,hg38,chr5,168560907-168560927,-,Y,mature,MIMAT0000101,1,0.966639,1
hsa-mir-103a-1,hg38,chr5,168560940-168560964,-,N,unannotated,,3,2.899918,0
hsa-mir-103a-1,hg38,chr5,168560941-168560964,-,N,unannotated,,24,23.199344,0
hsa-mir-103a-2,hg38,chr20,3917486-3917504,+,N,precursor,,1,0.966639,0
hsa-mir-103a-2,hg38,chr20,3917504-3917527,+,N,mature,MIMAT0009196,3,2.899918,1
hsa-mir-103a-2,hg38,chr20,3917505-3917527,+,N,mature,MIMAT0009196,1,0.966639,1
hsa-mir-103a-2,hg38,chr20,3917540-3917563,+,N,mature,MIMAT0000101,1,0.966639,1
hsa-mir-103a-2,hg38,chr20,3917540-3917564,+,N,mature,MIMAT0000101,14,13.532951,1
hsa-mir-103a-2,hg38,chr20,3917541-3917562,+,Y,mature,MIMAT0000101,37,35.765656,1
hsa-mir-103a-2,hg38,chr20,3917541-3917563,+,N,mature,MIMAT0000101,1817,1756.383686,1
hsa-mir-103a-2,hg38,chr20,3917541-3917564,+,N,mature,MIMAT0000101,18165,17559.003665,1
hsa-mir-103a-2,hg38,chr20,3917541-3917565,+,N,mature,MIMAT0000101,48,46.398688,1
hsa-mir-103a-2,hg38,chr20,3917541-3917566,+,N,mature,MIMAT0000101,5,4.833197,1
hsa-mir-103a-2,hg38,chr20,3917542-3917563,+,N,mature,MIMAT0000101,32,30.932459,1
hsa-mir-103a-2,hg38,chr20,3917542-3917564,+,N,mature,MIMAT0000101,128,123.729836,1
hsa-mir-103a-2,hg38,chr20,3917543-3917563,+,N,mature,MIMAT0000101,3,2.899918,1
hsa-mir-103a-2,hg38,chr20,3917543-3917564,+,N,mature,MIMAT0000101,152,146.92918,1
hsa-mir-103a-2,hg38,chr20,3917543-3917565,+,N,mature,MIMAT0000101,5,4.833197,1
hsa-mir-103a-2,hg38,chr20,3917545-3917564,+,N,mature,MIMAT0000101,2,1.933279,1
hsa-mir-105-1,hg38,chrX,152392264-152392286,-,N,mature,MIMAT0000102,5,4.833197,1
hsa-mir-105-1,hg38,chrX,152392264-152392288,-,N,mature,MIMAT0000102,2,1.933279,1
hsa-mir-105-1,hg38,chrX,152392265-152392284,-,N,mature,MIMAT0000102,1,0.966639,1
hsa-mir-105-1,hg38,chrX,152392265-152392286,-,N,mature,MIMAT0000102,5,4.833197,1
hsa-mir-105-1,hg38,chrX,152392265-152392287,-,N,mature,MIMAT0000102,2,1.933279,1
hsa-mir-105-1,hg38,chrX,152392265-152392288,-,N,mature,MIMAT0000102,85,82.164344,1
hsa-mir-105-1,hg38,chrX,152392266-152392286,-,N,mature,MIMAT0000102,4,3.866557,1
hsa-mir-105-1,hg38,chrX,152392266-152392287,-,N,mature,MIMAT0000102,2,1.933279,1
hsa-mir-105-1,hg38,chrX,152392266-152392288,-,N,mature,MIMAT0000102,159,153.695656,1
hsa-mir-105-2,hg38,chrX,152394457-152394479,-,N,mature,MIMAT0000102,7,6.766475,1
hsa-mir-105-2,hg38,chrX,152394457-152394481,-,N,mature,MIMAT0000102,4,3.866557,1
hsa-mir-105-2,hg38,chrX,152394458-152394477,-,N,mature,MIMAT0000102,1,0.966639,1
hsa-mir-105-2,hg38,chrX,152394458-152394479,-,N,mature,MIMAT0000102,2,1.933279,1
hsa-mir-105-2,hg38,chrX,152394458-152394480,-,N,mature,MIMAT0000102,1,0.966639,1
hsa-mir-105-2,hg38,chrX,152394458-152394481,-,N,mature,MIMAT0000102,68,65.731475,1
hsa-mir-105-2,hg38,chrX,152394459-152394479,-,N,mature,MIMAT0000102,6,5.799836,1
hsa-mir-105-2,hg38,chrX,152394459-152394481,-,N,mature,MIMAT0000102,144,139.196065,1
