accession_id,is_expressed,6dc4e6bf-a8f6-4280-af19-5ed501969f01,86e3408b-76a3-4834-b85e-4d2a07677304,a44df6fa-36a7-4500-90fd-d62baf48ef52,3abbb570-87ad-44c5-b66d-141f63b0ca8b,a4fc56a4-2493-451a-9b30-5aa38258bcce,be8e6554-07ae-4ec2-8be0-8598556467c9,d68e848a-5464-4471-88bd-3faf7e088d91,f3a7612e-35c3-43be-8f96-795874f8225c,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,0f40e7fd-789f-49f7-a797-76bbe3c84f47,e83d4619-5e2b-4da7-8c05-93611ea76c85,f424bcaa-7212-4abc-8110-cff56b85c85a,86b5eaae-717c-4806-be60-7ffcab935908,265fa10b-9393-4c95-99a0-df47069deaac,ff79f645-81f1-4a3b-ae72-adc169f30143,ed76d786-d744-4067-b288-5fe2dc06a310,52fed7ff-b663-4fc1-a294-57776659175a,8f6d8863-21b1-4469-b233-21bb7c9b954c,41cd380c-ab97-451e-80b7-3d9653a1e909,e351b00e-5462-4be5-a57c-162a9b7b996e,ddde9a13-c70c-464c-8066-65a88ab92dc7,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,8ecef704-ed0f-4700-a34e-46a174033332,02fc7dd7-7e17-4930-8424-52173c33b29b,e896f815-d8df-42cc-bdf6-04deb50f6c1a,37fb952c-2a89-4903-98b9-6f6d36743218,85236a1e-2adb-459b-b868-b9486d9a285e,557f6cb1-95e3-4c8c-b253-538a415b0d07,d0982681-8799-412d-a868-81078e4a6560,0f7a5400-3b1d-42d3-b47a-2979084bf616,7e975ee3-173d-4315-aacf-c201122d9868,81ec1c9c-36c0-48e8-929a-8273d1d3febe,eaf6af76-2b28-4128-9371-a3d928d72370,8334ded1-3815-4766-8861-6fa8313fab6b,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,aef6b437-1da5-4f69-970b-977cdc9cd5c5,3be37b85-90eb-4f47-909a-8be730172d92,0895e2a3-5571-4ee2-b715-a424d0c9fec4,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,f4987886-cc3e-4423-84ae-84911abcd473,d7438c8a-6e39-4139-92e7-2aa05bae5d40,91b36078-362b-4909-ac90-1b2d1ea4a545,415d3af2-fc41-43d5-b185-6a09946b9e84,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,585f73db-7dc1-49d8-a601-f8d33b318a95,646eb67c-2e86-4f89-867f-78c31eff5fe0,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aafbf8fb-290d-408e-b104-241b7d492895,3d4b6861-2763-451d-ae0a-6a5adfc591ec,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,a576843f-a9f7-47cf-a52f-7f01066fa160,54fb48bb-ab47-4870-beb0-5713d15d8b58,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f
MIMAT0000093,1,3435,9006,1595,4283,5694,6283,17649,1865,2520,12730,4332,3590,21353,8149,11394,5214,7534,13627,2372,14871,3606,15358,3955,6008,9179,1650,9188,15412,13726,9968,6566,6854,6843,3920,8425,10344,2139,13443,13131,5328,23944,7520,7113,21881,6154,7570,4309,12081,11148,13192,7839,8738,26260,89483,13488,6444
MIMAT0000094,1,3,9,2,6,14,15,1,1,1,7,6,2,12,18,8,0,10,2,11,1,2,25,5,2,5,8,4,2,3,18,1,4,0,8,4,33,8,4,6,2,13,3,2,12,2,3,10,3,5,2,3,10,6,4,14,3
MIMAT0000095,1,14,63,29,42,53,174,108,29,29,148,20,79,121,177,64,75,98,49,74,64,22,214,7,16,191,12,138,260,163,185,36,28,27,41,197,65,50,40,36,14,98,53,61,442,37,63,37,47,129,21,52,103,365,149,151,61
MIMAT0000096,1,40,244,35,71,120,71,75,31,35,80,43,52,115,84,176,101,183,139,24,235,124,335,21,28,169,78,130,230,266,54,224,72,44,47,143,110,32,150,248,92,96,89,57,272,191,23,103,271,97,74,82,366,224,473,217,186
MIMAT0000097,1,161,2182,333,966,337,320,551,301,522,392,442,843,976,2950,1554,674,4356,992,757,4193,785,1277,1535,1528,2769,668,751,1292,2040,797,505,1066,864,398,118,1697,406,760,1267,619,629,1278,1016,801,193,203,1436,383,569,957,1148,279,2169,6717,3682,1430
MIMAT0000098,1,692,10827,2256,3046,1716,1491,2973,1594,2409,1316,1149,4554,5526,4645,2349,2786,9812,5392,1541,13052,3125,4899,7704,3009,13944,3037,171,6006,7674,1876,2279,4266,3136,1201,2452,6946,3323,1402,7829,3086,453,4332,3268,429,860,1608,7637,1125,1508,4530,4883,1505,7571,27482,18804,5265
MIMAT0000099,1,3418,63586,4657,5523,7400,14293,9851,1576,3992,4011,6538,8531,22243,25352,21800,25543,30954,11657,4781,37698,4359,24712,3559,7165,27162,10061,2242,13378,21914,14398,12228,14732,5572,4908,3497,24341,4094,12702,18656,6751,5955,10757,3371,7708,4696,7857,18161,5910,7274,9079,10822,11511,24171,68351,41359,18387
MIMAT0000100,1,817,3038,1379,444,955,1401,598,188,90,3537,934,1369,4084,1069,1017,771,1826,761,472,831,552,676,391,577,1137,809,2179,1140,1335,1520,1472,979,319,641,1691,3468,342,987,457,862,473,370,261,425,576,887,562,1241,392,747,1000,888,1757,2317,1694,1015
MIMAT0000101,1,22258,46312,7511,23447,38201,12897,33365,6054,9920,38629,27812,23924,40134,26037,23280,15146,37817,28833,9274,31615,21776,32501,17391,11904,24182,13442,24444,87386,54983,26337,23128,19639,12489,14851,38088,21358,18538,23053,36470,26954,24117,30639,23870,64343,56657,24180,11570,46763,23532,35568,18724,20759,64381,113657,55780,37478
MIMAT0000102,1,0,1069,47,3,5,2,10,17,2,34,134,2,4,0,17,0,795,18,0,0,0,95,0,3,31,15,0,3,1,226,623,1,2,25,129,4,176,1,1,33,4,0,7,0,0,5,1,7,64,1,4,8,749,51,25,1
MIMAT0000103,1,13,44,55,33,82,79,26,5,21,52,64,41,71,41,42,201,42,27,21,81,31,24,69,29,30,19,93,48,59,135,29,26,17,19,74,57,10,108,45,29,134,4,71,109,56,23,37,38,80,12,29,121,27,86,80,42
MIMAT0000104,1,50,239,65,111,108,80,72,28,45,95,84,143,125,105,58,124,118,92,60,145,71,158,81,43,116,83,54,181,236,180,82,76,29,46,80,119,86,120,106,46,78,55,105,136,237,133,70,102,75,49,65,119,175,510,438,143
MIMAT0000222,1,847,1577,2040,2601,2211,2223,1218,1183,1298,1018,1375,736,2701,2723,552,1498,3265,904,1453,2364,3229,1227,6219,1140,994,592,949,2626,1251,5871,981,1199,1354,935,452,3538,3109,431,1065,663,2988,739,333,2531,1329,3517,762,2782,2766,604,1101,1413,3073,3600,3501,734
MIMAT0000226,1,568,1161,1290,1571,1758,4144,2866,1249,416,2091,3445,718,5951,2309,1835,467,1530,1595,418,1801,8654,5758,140,91,737,317,1219,4103,1461,2356,470,464,2472,453,18168,714,230,3260,71,801,2622,2579,2116,3803,2455,2560,821,914,2960,260,1293,1373,1113,5703,16884,2504
MIMAT0000227,1,294,688,555,624,410,757,359,225,125,668,600,1176,1070,712,541,342,1391,622,245,1175,387,1130,429,351,867,238,686,700,814,942,648,242,383,367,766,931,504,1425,883,298,1629,249,384,1703,638,382,345,721,667,472,861,924,912,1629,1045,770
MIMAT0000231,1,514,1951,853,2953,1443,1233,2439,534,858,1850,1384,6948,3424,1984,861,481,3790,3494,613,4757,1357,2652,2150,1183,3280,1118,238,4406,2117,742,1155,1553,2807,1077,1825,2761,2994,3084,3212,1580,648,4707,2228,875,1393,511,1287,1539,409,1421,1557,1018,2920,17682,5626,2270
MIMAT0000232,1,1655,18228,13758,12891,14048,9086,7478,4889,7100,3300,8772,11101,13172,10784,5732,4670,21127,12492,3279,22321,16813,14593,5003,10536,17251,9769,882,11008,17626,12083,4652,7391,8207,5645,2721,26036,7509,14808,15349,7691,3226,16630,6754,1893,5903,2781,12238,5155,2670,2844,13747,6853,8064,52975,54889,11524
MIMAT0000242,1,0,13,0,0,3,2,0,1,1,2,4,1,3,3,0,2,5,1,0,3,0,12,1,3,3,0,3,0,4,18,0,2,1,2,0,1,3,0,1,0,5,1,0,1,2,6,2,1,1,0,0,4,10,9,4,47
MIMAT0000243,1,69678,225910,120310,82169,219815,89219,66095,24051,26175,90557,133683,151546,205267,200942,181565,128909,293140,121076,292860,210884,62484,68182,27831,109178,231275,183159,115669,160978,325074,217273,99141,135986,58498,118534,61686,722216,53885,120199,73198,88062,49136,48628,68566,220465,130440,175166,90275,239643,75385,52685,408672,213295,197747,127920,208010,96576
MIMAT0000244,1,1871,1145,872,1305,3352,1271,1407,1106,430,1786,1376,2309,2899,3218,1176,639,2356,606,903,1360,1384,1579,766,293,942,742,1565,1809,878,4973,3850,854,241,681,8201,2191,792,970,615,912,1463,671,697,1896,1220,1213,1152,1750,838,1001,618,655,1795,1410,1764,814
MIMAT0000245,1,6967,14330,17715,10217,19533,3856,10751,5687,2784,13986,8531,6955,17626,12455,10025,11743,7985,4706,9279,20314,14616,9905,11786,4391,15539,15631,15819,21105,15296,15996,12681,13130,4620,6230,14734,14900,7257,3989,8728,13032,17074,5001,7286,14350,18328,11330,7111,15813,66407,8229,11574,18328,11982,25452,34287,12815
MIMAT0000250,1,39,115,55,43,99,23,58,6,15,965,24,57,159,189,50,26,303,43,47,102,24,36,46,9,138,26,24,38,62,43,78,71,22,45,23,61,105,31,26,17,31,78,21,39,30,46,56,18,48,93,16,37,238,157,36,62
MIMAT0000252,1,1,5,32,17,5,41,3,19,0,1,9,5,1,15,3,5,1,1,0,6,7,5,1,1,1,3,2,13,3,5,1,5,0,1,9,4,21,9,9,11,60,0,2,10,9,10,6,5,14,14,2,7,41,6,6,14
MIMAT0000253,1,35706,99377,59205,17107,20568,9531,21235,1978,13995,12600,53283,172829,87408,29727,45993,7557,34982,51267,63100,326910,13425,224514,28783,27385,41080,19986,308967,41009,108796,273398,18537,23961,117999,35604,491829,63938,9627,17110,62313,15335,145679,47039,50649,10168,14671,6690,37933,16654,9460,18009,27643,15121,35769,100025,119380,92348
MIMAT0000254,1,61848,398591,32655,67105,52051,55062,66960,69381,40082,74645,230916,53172,215432,168797,75145,45609,251186,109339,50199,244923,67509,167421,146589,65978,199140,69887,37695,133631,116852,96791,59437,111202,42855,36116,49934,182990,18298,94234,172352,45999,29256,148543,102839,612041,24583,19663,114423,74350,32783,93766,84700,75117,189214,256185,750136,113369
MIMAT0000255,1,390,235,227,260,396,434,79,45,39,300,104,467,490,447,225,239,428,333,164,344,148,261,93,170,417,120,515,826,738,348,327,263,120,135,489,284,489,407,226,176,738,136,123,589,226,78,440,252,589,88,221,469,607,965,595,228
MIMAT0000256,1,1062,4687,3331,2046,9451,3130,7509,402,1230,3112,3689,5064,3788,3095,1142,1436,3117,1769,604,3538,939,5759,1935,2186,3555,3489,1221,6564,8124,4787,1110,1431,1501,850,1223,3073,2216,2186,3193,952,2814,3044,3703,3481,2341,1289,1178,3012,2531,2711,2745,3858,2557,25049,4637,4053
MIMAT0000257,1,238,1013,1397,547,2598,1107,1830,129,383,909,1716,1530,791,751,323,1087,1082,460,114,1472,255,2174,418,436,928,1547,301,1480,2517,1701,266,352,226,145,322,617,406,519,602,163,922,788,756,1764,820,318,260,1080,818,976,488,1961,665,5555,1435,1144
MIMAT0000258,1,36,135,18,44,46,30,81,3,8,74,26,124,33,64,57,46,43,48,8,38,15,191,34,36,49,31,8,146,157,105,28,25,24,10,130,86,19,30,81,11,95,43,44,208,15,18,40,22,60,33,112,238,68,335,274,51
MIMAT0000259,1,15951,62229,32698,38044,47889,182992,144209,17123,60990,96150,25546,52887,88176,196105,103476,204218,112086,41840,60725,65313,33085,198713,52293,30461,253192,46448,80589,283061,144670,171628,44425,63140,29657,30904,108211,73898,45077,19718,67283,19064,87396,62855,106057,292015,50473,58579,78513,68663,109244,41048,43947,121333,249101,149577,207895,114714
MIMAT0000260,0,0,0,0,0,0,2,0,0,0,1,0,2,2,4,0,3,0,3,0,1,0,3,0,0,1,1,1,1,2,4,1,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,4,0,0,0,0,1,6,1,1,0
MIMAT0000261,1,4169,46175,26291,18829,32114,32213,55646,13587,24305,36686,18151,33517,26575,45442,54274,103186,61059,25975,20013,58051,38415,134997,20120,25102,58940,13968,41064,118943,108039,72536,29298,31372,14449,17275,51088,41262,19079,7881,43427,11219,50422,25517,40911,174623,35967,40416,26833,41378,47841,28562,28547,106274,147670,80980,80186,58921
MIMAT0000262,1,43,207,9,1881,3,379,6,108,1,192,68,12,17,95,19,611,1293,7,19,97,38,6,122,45,371,615,156,214,189,9,124,24,4,201,16,27,52,43,62,74,197,84,107,4820,466,49,38,2027,8,3,9,3388,277,21,44,17
MIMAT0000263,1,104,399,209,603,219,265,310,131,92,280,231,1003,526,407,168,69,935,564,149,560,300,426,194,238,631,173,56,1044,353,131,244,373,351,186,365,474,657,584,521,198,126,672,353,160,345,99,338,251,66,275,262,167,811,1871,737,532
MIMAT0000264,1,4497,2444,3719,13358,129147,9840,6599,1731,10473,1645,21724,4329,15963,15174,13801,1393,5416,4208,6444,13467,6665,17170,13910,3843,33076,4878,4992,9934,10286,22425,21676,490,18180,18791,10048,169310,6187,2732,58862,12142,21685,3102,2372,13479,7187,399,50529,4449,62340,6721,26991,83394,54016,41643,40875,3816
MIMAT0000265,1,0,7,9,0,2,0,2,0,0,3,0,2,0,1,0,0,7,4,0,4,3,2,4,0,7,2,0,0,3,1,2,0,0,0,2,0,1,2,6,0,2,2,1,5,1,1,5,0,0,13,0,1,23,51,18,6
MIMAT0000266,1,88,2268,206,2024,219,3245,2930,1117,631,3639,1484,12202,20891,136,1564,1253,4280,12226,518,13606,4460,4437,944,3685,1992,1912,5889,2134,30200,10777,1806,947,893,490,26828,2684,303,543,2866,217,1635,2264,1759,6264,576,1398,976,294,4932,4140,12125,916,5095,2053,24476,3777
MIMAT0000267,1,521,420,6118,6616,2335,2379,2202,2107,287,227,6941,11745,4780,1202,2323,932,1336,3605,849,379,2246,669,485,615,1427,414,3739,3622,7850,14620,4038,596,5304,433,4175,4661,9828,3910,3844,947,1594,2874,1413,1540,2512,4453,865,1963,975,780,1694,5211,2535,13304,7555,856
MIMAT0000268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0000269,1,1,29,1,4,4,7,5,2,3,4,3,4,11,3,4,11,14,12,3,16,3,14,4,5,9,3,4,2,19,1,2,4,3,2,5,4,0,9,5,3,8,3,5,2,1,3,12,3,0,0,5,88,16,21,32,9
MIMAT0000270,1,77,1057,644,574,1482,595,1286,214,391,374,465,582,654,854,251,393,662,565,167,1107,407,578,511,380,1011,608,78,861,1315,527,258,437,365,207,164,430,826,595,588,108,353,449,690,433,385,372,383,412,335,660,412,584,348,3755,683,794
MIMAT0000271,1,0,19,26,20,12,13,2,6,2,4,9,18,17,11,5,7,11,13,0,24,32,19,14,2,4,5,1,15,10,7,9,17,7,9,6,14,13,15,9,2,4,20,53,7,7,3,15,0,3,6,7,7,20,27,57,27
