accession_id,f3a7612e-35c3-43be-8f96-795874f8225c,3abbb570-87ad-44c5-b66d-141f63b0ca8b,dc300e50-f729-4d0e-8a33-606e95d91c95,a00a04b4-8de5-4f18-9dc2-531e21aa5167,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,557f6cb1-95e3-4c8c-b253-538a415b0d07,ed76d786-d744-4067-b288-5fe2dc06a310,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,37fb952c-2a89-4903-98b9-6f6d36743218,a576843f-a9f7-47cf-a52f-7f01066fa160,0f40e7fd-789f-49f7-a797-76bbe3c84f47,ddde9a13-c70c-464c-8066-65a88ab92dc7,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aef6b437-1da5-4f69-970b-977cdc9cd5c5,8ecef704-ed0f-4700-a34e-46a174033332,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,be8e6554-07ae-4ec2-8be0-8598556467c9,d7438c8a-6e39-4139-92e7-2aa05bae5d40,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,e83d4619-5e2b-4da7-8c05-93611ea76c85,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,f424bcaa-7212-4abc-8110-cff56b85c85a,e896f815-d8df-42cc-bdf6-04deb50f6c1a,85236a1e-2adb-459b-b868-b9486d9a285e,a4fc56a4-2493-451a-9b30-5aa38258bcce,6dc4e6bf-a8f6-4280-af19-5ed501969f01,7e975ee3-173d-4315-aacf-c201122d9868,52fed7ff-b663-4fc1-a294-57776659175a,d68e848a-5464-4471-88bd-3faf7e088d91,81ec1c9c-36c0-48e8-929a-8273d1d3febe,0f7a5400-3b1d-42d3-b47a-2979084bf616,8334ded1-3815-4766-8861-6fa8313fab6b,0895e2a3-5571-4ee2-b715-a424d0c9fec4,585f73db-7dc1-49d8-a601-f8d33b318a95,02fc7dd7-7e17-4930-8424-52173c33b29b,41cd380c-ab97-451e-80b7-3d9653a1e909,54fb48bb-ab47-4870-beb0-5713d15d8b58,415d3af2-fc41-43d5-b185-6a09946b9e84,265fa10b-9393-4c95-99a0-df47069deaac,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,8f6d8863-21b1-4469-b233-21bb7c9b954c,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,86e3408b-76a3-4834-b85e-4d2a07677304,f4987886-cc3e-4423-84ae-84911abcd473,86b5eaae-717c-4806-be60-7ffcab935908,e351b00e-5462-4be5-a57c-162a9b7b996e,3be37b85-90eb-4f47-909a-8be730172d92,3d4b6861-2763-451d-ae0a-6a5adfc591ec,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,eaf6af76-2b28-4128-9371-a3d928d72370,d0982681-8799-412d-a868-81078e4a6560,a44df6fa-36a7-4500-90fd-d62baf48ef52,646eb67c-2e86-4f89-867f-78c31eff5fe0,91b36078-362b-4909-ac90-1b2d1ea4a545,aafbf8fb-290d-408e-b104-241b7d492895,ff79f645-81f1-4a3b-ae72-adc169f30143
MIMAT0000082,795,2158,4046,2038,648,3781,3155,3320,1762,7833,1481,2027,1635,1326,1835,2267,5428,2445,5579,3654,4370,4091,3209,877,2729,921,3217,4718,1790,3553,3482,1537,2143,1761,1146,1310,9681,1754,11108,3898,2089,3293,9498,1671,5665,4128,4313,3600,1429,784,3656,4007,1234,1110,2306,3221
MIMAT0000083,580,1016,1651,704,274,2581,830,1077,471,1964,1356,970,842,773,357,1827,2768,854,1154,2012,2486,3806,1006,1056,1311,957,1462,3117,938,1398,1312,497,732,1233,313,488,1201,920,2223,1998,1097,2341,2070,689,3386,1416,2312,862,717,503,1264,1104,841,3339,664,1441
MIMAT0000084,562,2160,4219,586,449,2524,1935,2748,1245,10124,548,1411,625,1782,609,896,3578,1130,4564,2624,2319,4410,3350,368,3089,179,1950,2625,1162,2827,3547,927,2772,988,1259,460,5971,1025,2312,2343,2204,1929,2264,1002,1711,2254,3999,8544,545,861,3887,3134,1064,665,2315,2152
MIMAT0000085,47,146,268,75,69,318,183,412,96,358,82,114,62,105,91,157,256,166,238,121,336,260,239,92,78,51,195,260,139,167,164,43,167,110,85,62,734,54,236,149,195,136,364,81,255,293,302,158,57,80,214,110,168,181,139,346
MIMAT0000086,2476,3138,9457,3841,1025,9566,5150,9103,3333,13991,8179,4731,3328,2395,2722,2870,9269,2829,13414,4451,10129,7175,12053,6042,4283,2775,6908,14538,2916,9267,6982,3038,4048,4888,4509,2063,17579,1983,10199,7966,6477,8760,20566,3907,27747,8848,6277,7718,4803,3617,9021,5245,1787,2147,6467,7030
MIMAT0000087,20921,14609,82779,58357,22317,102856,12431,70587,43387,52480,20736,30902,22041,23474,22195,9408,12292,9611,21720,25706,23249,25559,73299,9801,130131,97319,140555,50693,69131,29430,257581,23079,12654,43078,4158,41245,116195,20893,67205,16287,12615,6816,26016,20699,150597,30115,18725,49807,12192,8635,13737,8125,9568,5493,10667,15976
MIMAT0000088,48681,2404,19667,8622,11567,27767,6623,36178,11640,14645,2884,27264,7522,2988,5313,925,3482,2656,5579,5885,6215,11784,37741,1153,16112,5407,34805,27246,24112,9843,58879,2507,5145,3085,1706,6070,45297,2323,23459,6342,5150,954,8953,7307,42025,16295,13214,20461,1167,2933,5771,4149,2206,774,3923,3881
MIMAT0000089,5,61,12,1,4,44,4,1,3,18,8,15,2,4,3,1,120,13,3,0,5,11,7,142,4,3,3,14,1,14,8,1,6,25,1,0,10,0,2,14,5,2,16,4,2,58,3,2,3,1,106,9,8,0,8,2
MIMAT0000090,10,41,59,42,12,51,130,57,57,71,56,53,9,19,11,51,209,14,85,54,90,82,68,37,33,10,62,80,27,36,138,29,53,24,11,34,217,26,138,64,35,38,133,26,134,89,143,50,5,21,72,60,68,27,69,64
MIMAT0000091,35,55,81,12,16,28,108,30,45,17,39,90,17,144,8,132,135,7,77,51,114,42,58,13,16,8,79,28,6,42,123,21,41,24,10,23,89,38,154,41,42,22,79,25,22,89,69,159,6,14,133,135,53,29,76,66
MIMAT0000092,3673,25142,9423,16255,4720,6930,13447,19691,4410,75050,11866,25422,16170,11385,11261,19505,10194,6262,10602,9843,32038,6429,16009,8560,36257,4209,5425,10222,13190,6679,19776,7750,23860,4739,4707,7596,30047,11301,7025,11391,16087,28903,16952,10075,30449,18972,23444,34903,2378,12796,22483,9287,18377,9448,13717,10401
MIMAT0000093,1865,4283,4309,7570,2520,15412,5214,15358,1650,89483,12730,3606,13192,2139,3955,23944,6283,7113,10344,4332,26260,3590,9179,9188,5694,3435,6566,7534,17649,6854,9968,3920,13131,12081,6008,2372,13488,6154,8149,6444,13627,8425,9006,7520,21353,14871,13443,8738,5328,6843,13726,1595,11148,21881,7839,11394
MIMAT0000094,1,6,10,3,1,2,0,25,8,4,7,2,2,8,5,13,15,2,33,6,6,2,5,4,14,3,1,10,1,4,18,8,6,3,2,11,14,2,18,3,2,4,9,3,12,1,4,10,2,0,3,2,5,12,3,8
MIMAT0000095,29,42,37,63,29,260,75,214,12,149,148,22,21,50,7,98,174,61,65,20,365,79,191,138,53,14,36,98,108,28,185,41,36,47,16,74,151,37,177,61,49,197,63,53,121,64,40,103,14,27,163,29,129,442,52,64
MIMAT0000096,31,71,103,23,35,230,101,335,78,473,80,124,74,32,21,96,71,57,110,43,224,52,169,130,120,40,224,183,75,72,54,47,248,271,28,24,217,191,84,186,139,143,244,89,115,235,150,366,92,44,266,35,97,272,82,176
MIMAT0000097,301,966,1436,203,522,1292,674,1277,668,6717,392,785,957,406,1535,629,320,1016,1697,442,2169,843,2769,751,337,161,505,4356,551,1066,797,398,1267,383,1528,757,3682,193,2950,1430,992,118,2182,1278,976,4193,760,279,619,864,2040,333,569,801,1148,1554
MIMAT0000098,1594,3046,7637,1608,2409,6006,2786,4899,3037,27482,1316,3125,4530,3323,7704,453,1491,3268,6946,1149,7571,4554,13944,171,1716,692,2279,9812,2973,4266,1876,1201,7829,1125,3009,1541,18804,860,4645,5265,5392,2452,10827,4332,5526,13052,1402,1505,3086,3136,7674,2256,1508,429,4883,2349
MIMAT0000099,1576,5523,18161,7857,3992,13378,25543,24712,10061,68351,4011,4359,9079,4094,3559,5955,14293,3371,24341,6538,24171,8531,27162,2242,7400,3418,12228,30954,9851,14732,14398,4908,18656,5910,7165,4781,41359,4696,25352,18387,11657,3497,63586,10757,22243,37698,12702,11511,6751,5572,21914,4657,7274,7708,10822,21800
MIMAT0000100,188,444,562,887,90,1140,771,676,809,2317,3537,552,747,342,391,473,1401,261,3468,934,1757,1369,1137,2179,955,817,1472,1826,598,979,1520,641,457,1241,577,472,1694,576,1069,1015,761,1691,3038,370,4084,831,987,888,862,319,1335,1379,392,425,1000,1017
MIMAT0000101,6054,23447,11570,24180,9920,87386,15146,32501,13442,113657,38629,21776,35568,18538,17391,24117,12897,23870,21358,27812,64381,23924,24182,24444,38201,22258,23128,37817,33365,19639,26337,14851,36470,46763,11904,9274,55780,56657,26037,37478,28833,38088,46312,30639,40134,31615,23053,20759,26954,12489,54983,7511,23532,64343,18724,23280
MIMAT0000102,17,3,1,5,2,3,0,95,15,51,34,0,1,176,0,4,2,7,4,134,749,2,31,0,5,0,623,795,10,1,226,25,1,7,3,0,25,0,0,1,18,129,1069,0,4,0,1,8,33,2,1,47,64,0,4,17
MIMAT0000103,5,33,37,23,21,48,201,24,19,86,52,31,12,10,69,134,79,71,57,64,27,41,30,93,82,13,29,42,26,26,135,19,45,38,29,21,80,56,41,42,27,74,44,4,71,81,108,121,29,17,59,55,80,109,29,42
MIMAT0000104,28,111,70,133,45,181,124,158,83,510,95,71,49,86,81,78,80,105,119,84,175,143,116,54,108,50,82,118,72,76,180,46,106,102,43,60,438,237,105,143,92,80,239,55,125,145,120,119,46,29,236,65,75,136,65,58
MIMAT0000222,1183,2601,762,3517,1298,2626,1498,1227,592,3600,1018,3229,604,3109,6219,2988,2223,333,3538,1375,3073,736,994,949,2211,847,981,3265,1218,1199,5871,935,1065,2782,1140,1453,3501,1329,2723,734,904,452,1577,739,2701,2364,431,1413,663,1354,1251,2040,2766,2531,1101,552
MIMAT0000226,1249,1571,821,2560,416,4103,467,5758,317,5703,2091,8654,260,230,140,2622,4144,2116,714,3445,1113,718,737,1219,1758,568,470,1530,2866,464,2356,453,71,914,91,418,16884,2455,2309,2504,1595,18168,1161,2579,5951,1801,3260,1373,801,2472,1461,1290,2960,3803,1293,1835
MIMAT0000227,225,624,345,382,125,700,342,1130,238,1629,668,387,472,504,429,1629,757,384,931,600,912,1176,867,686,410,294,648,1391,359,242,942,367,883,721,351,245,1045,638,712,770,622,766,688,249,1070,1175,1425,924,298,383,814,555,667,1703,861,541
MIMAT0000231,534,2953,1287,511,858,4406,481,2652,1118,17682,1850,1357,1421,2994,2150,648,1233,2228,2761,1384,2920,6948,3280,238,1443,514,1155,3790,2439,1553,742,1077,3212,1539,1183,613,5626,1393,1984,2270,3494,1825,1951,4707,3424,4757,3084,1018,1580,2807,2117,853,409,875,1557,861
MIMAT0000232,4889,12891,12238,2781,7100,11008,4670,14593,9769,52975,3300,16813,2844,7509,5003,3226,9086,6754,26036,8772,8064,11101,17251,882,14048,1655,4652,21127,7478,7391,12083,5645,15349,5155,10536,3279,54889,5903,10784,11524,12492,2721,18228,16630,13172,22321,14808,6853,7691,8207,17626,13758,2670,1893,13747,5732
MIMAT0000242,1,0,2,6,1,0,2,12,0,9,2,0,0,3,1,5,2,0,1,4,10,1,3,3,3,0,0,5,0,2,18,2,1,1,3,0,4,2,3,47,1,0,13,1,3,3,0,4,0,1,4,0,1,1,0,0
MIMAT0000243,24051,82169,90275,175166,26175,160978,128909,68182,183159,127920,90557,62484,52685,53885,27831,49136,89219,68566,722216,133683,197747,151546,231275,115669,219815,69678,99141,293140,66095,135986,217273,118534,73198,239643,109178,292860,208010,130440,200942,96576,121076,61686,225910,48628,205267,210884,120199,213295,88062,58498,325074,120310,75385,220465,408672,181565
MIMAT0000244,1106,1305,1152,1213,430,1809,639,1579,742,1410,1786,1384,1001,792,766,1463,1271,697,2191,1376,1795,2309,942,1565,3352,1871,3850,2356,1407,854,4973,681,615,1750,293,903,1764,1220,3218,814,606,8201,1145,671,2899,1360,970,655,912,241,878,872,838,1896,618,1176
MIMAT0000245,5687,10217,7111,11330,2784,21105,11743,9905,15631,25452,13986,14616,8229,7257,11786,17074,3856,7286,14900,8531,11982,6955,15539,15819,19533,6967,12681,7985,10751,13130,15996,6230,8728,15813,4391,9279,34287,18328,12455,12815,4706,14734,14330,5001,17626,20314,3989,18328,13032,4620,15296,17715,66407,14350,11574,10025
MIMAT0000250,6,43,56,46,15,38,26,36,26,157,965,24,93,105,46,31,23,21,61,24,238,57,138,24,99,39,78,303,58,71,43,45,26,18,9,47,36,30,189,62,43,23,115,78,159,102,31,37,17,22,62,55,48,39,16,50
MIMAT0000252,19,17,6,10,0,13,5,5,3,6,1,7,14,21,1,60,41,2,4,9,41,5,1,2,5,1,1,1,3,5,5,1,9,5,1,0,6,9,15,14,1,9,5,0,1,6,9,7,11,0,3,32,14,10,2,3
MIMAT0000253,1978,17107,37933,6690,13995,41009,7557,224514,19986,100025,12600,13425,18009,9627,28783,145679,9531,50649,63938,53283,35769,172829,41080,308967,20568,35706,18537,34982,21235,23961,273398,35604,62313,16654,27385,63100,119380,14671,29727,92348,51267,491829,99377,47039,87408,326910,17110,15121,15335,117999,108796,59205,9460,10168,27643,45993
MIMAT0000254,69381,67105,114423,19663,40082,133631,45609,167421,69887,256185,74645,67509,93766,18298,146589,29256,55062,102839,182990,230916,189214,53172,199140,37695,52051,61848,59437,251186,66960,111202,96791,36116,172352,74350,65978,50199,750136,24583,168797,113369,109339,49934,398591,148543,215432,244923,94234,75117,45999,42855,116852,32655,32783,612041,84700,75145
MIMAT0000255,45,260,440,78,39,826,239,261,120,965,300,148,88,489,93,738,434,123,284,104,607,467,417,515,396,390,327,428,79,263,348,135,226,252,170,164,595,226,447,228,333,489,235,136,490,344,407,469,176,120,738,227,589,589,221,225
MIMAT0000256,402,2046,1178,1289,1230,6564,1436,5759,3489,25049,3112,939,2711,2216,1935,2814,3130,3703,3073,3689,2557,5064,3555,1221,9451,1062,1110,3117,7509,1431,4787,850,3193,3012,2186,604,4637,2341,3095,4053,1769,1223,4687,3044,3788,3538,2186,3858,952,1501,8124,3331,2531,3481,2745,1142
MIMAT0000257,129,547,260,318,383,1480,1087,2174,1547,5555,909,255,976,406,418,922,1107,756,617,1716,665,1530,928,301,2598,238,266,1082,1830,352,1701,145,602,1080,436,114,1435,820,751,1144,460,322,1013,788,791,1472,519,1961,163,226,2517,1397,818,1764,488,323
MIMAT0000258,3,44,40,18,8,146,46,191,31,335,74,15,33,19,34,95,30,44,86,26,68,124,49,8,46,36,28,43,81,25,105,10,81,22,36,8,274,15,64,51,48,130,135,43,33,38,30,238,11,24,157,18,60,208,112,57
MIMAT0000259,17123,38044,78513,58579,60990,283061,204218,198713,46448,149577,96150,33085,41048,45077,52293,87396,182992,106057,73898,25546,249101,52887,253192,80589,47889,15951,44425,112086,144209,63140,171628,30904,67283,68663,30461,60725,207895,50473,196105,114714,41840,108211,62229,62855,88176,65313,19718,121333,19064,29657,144670,32698,109244,292015,43947,103476
MIMAT0000260,0,0,4,0,0,1,3,3,1,1,1,0,0,0,0,0,2,0,0,0,6,2,1,1,0,0,1,0,0,0,4,0,0,0,0,0,1,0,4,0,3,1,0,1,2,1,0,1,0,0,2,0,0,4,0,0
MIMAT0000261,13587,18829,26833,40416,24305,118943,103186,134997,13968,80980,36686,38415,28562,19079,20120,50422,32213,40911,41262,18151,147670,33517,58940,41064,32114,4169,29298,61059,55646,31372,72536,17275,43427,41378,25102,20013,80186,35967,45442,58921,25975,51088,46175,25517,26575,58051,7881,106274,11219,14449,108039,26291,47841,174623,28547,54274
MIMAT0000262,108,1881,38,49,1,214,611,6,615,21,192,38,3,52,122,197,379,107,27,68,277,12,371,156,3,43,124,1293,6,24,9,201,62,2027,45,19,44,466,95,17,7,16,207,84,17,97,43,3388,74,4,189,9,8,4820,9,19
MIMAT0000263,131,603,338,99,92,1044,69,426,173,1871,280,300,275,657,194,126,265,353,474,231,811,1003,631,56,219,104,244,935,310,373,131,186,521,251,238,149,737,345,407,532,564,365,399,672,526,560,584,167,198,351,353,209,66,160,262,168
MIMAT0000264,1731,13358,50529,399,10473,9934,1393,17170,4878,41643,1645,6665,6721,6187,13910,21685,9840,2372,169310,21724,54016,4329,33076,4992,129147,4497,21676,5416,6599,490,22425,18791,58862,4449,3843,6444,40875,7187,15174,3816,4208,10048,2444,3102,15963,13467,2732,83394,12142,18180,10286,3719,62340,13479,26991,13801
MIMAT0000265,0,0,5,1,0,0,0,2,2,51,3,3,13,1,4,2,0,1,0,0,23,2,7,0,2,0,2,7,2,0,1,0,6,0,0,0,18,1,1,6,4,2,7,2,0,4,2,1,0,0,3,9,0,5,0,0
MIMAT0000266,1117,2024,976,1398,631,2134,1253,4437,1912,2053,3639,4460,4140,303,944,1635,3245,1759,2684,1484,5095,12202,1992,5889,219,88,1806,4280,2930,947,10777,490,2866,294,3685,518,24476,576,136,3777,12226,26828,2268,2264,20891,13606,543,916,217,893,30200,206,4932,6264,12125,1564
MIMAT0000267,2107,6616,865,4453,287,3622,932,669,414,13304,227,2246,780,9828,485,1594,2379,1413,4661,6941,2535,11745,1427,3739,2335,521,4038,1336,2202,596,14620,433,3844,1963,615,849,7555,2512,1202,856,3605,4175,420,2874,4780,379,3910,5211,947,5304,7850,6118,975,1540,1694,2323
MIMAT0000268,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIMAT0000269,2,4,12,3,3,2,11,14,3,21,4,3,0,0,4,8,7,5,4,3,16,4,9,4,4,1,2,14,5,4,1,2,5,3,5,3,32,1,3,9,12,5,29,3,11,16,9,88,3,3,19,1,0,2,5,4
MIMAT0000270,214,574,383,372,391,861,393,578,608,3755,374,407,660,826,511,353,595,690,430,465,348,582,1011,78,1482,77,258,662,1286,437,527,207,588,412,380,167,683,385,854,794,565,164,1057,449,654,1107,595,584,108,365,1315,644,335,433,412,251
MIMAT0000271,6,20,15,3,2,15,7,19,5,27,4,32,6,13,14,4,13,53,14,9,20,18,4,1,12,0,9,11,2,17,7,9,9,0,2,0,57,7,11,27,13,6,19,20,17,24,15,7,2,7,10,26,3,7,7,5
MIMAT0000272,3,51,8,18,17,27,117,9,24,11,1,19,4,10,30,6,31,3,33,8,35,5,15,7,26,3,9,26,5,20,88,15,8,4,6,26,116,10,45,13,5,2,57,7,20,43,7,35,0,8,11,29,21,5,6,11
